x,y,value,row_group,column_group,annotation_value
S01,G01,0.8226379564817976,immune,control,0.0
S02,G01,1.000320333423759,immune,control,0.0
S03,G01,0.8205518914794032,immune,control,0.0
S04,G01,0.5486559979739261,immune,control,0.0
S05,G01,0.22335151246625548,immune,control,0.0
S06,G01,-0.20931264954124965,immune,control,0.0
S07,G01,-0.47009927092601295,immune,control,0.0
S08,G01,0.018927237060363145,immune,treated,0.0
S09,G01,-0.013830328199521402,immune,treated,0.0
S10,G01,-0.37158005459705146,immune,treated,0.0
S11,G01,-0.3893268985063125,immune,treated,0.0
S12,G01,-0.28141358718423937,immune,treated,0.0
S13,G01,0.27913295749343225,immune,treated,0.0
S14,G01,0.5544306506872692,immune,treated,0.0
S01,G02,1.54573148220961,metabolic,control,0.16666666666666666
S02,G02,1.019934574411895,metabolic,control,0.16666666666666666
S03,G02,0.9630877704241517,metabolic,control,0.16666666666666666
S04,G02,0.6258239983107292,metabolic,control,0.16666666666666666
S05,G02,0.4622958964477528,metabolic,control,0.16666666666666666
S06,G02,0.046033233712197655,metabolic,control,0.16666666666666666
S07,G02,-0.3860845215844648,metabolic,control,0.16666666666666666
S08,G02,-0.6053356057085806,metabolic,treated,0.16666666666666666
S09,G02,-0.5110472348502861,metabolic,treated,0.16666666666666666
S10,G02,-0.5063561198295664,metabolic,treated,0.16666666666666666
S11,G02,-0.5224312339265798,metabolic,treated,0.16666666666666666
S12,G02,-0.3093697283418699,metabolic,treated,0.16666666666666666
S13,G02,-0.023704284564707315,metabolic,treated,0.16666666666666666
S14,G02,0.1291355096440605,metabolic,treated,0.16666666666666666
S01,G03,1.552925979938626,stress,control,0.3333333333333333
S02,G03,1.3361937990192292,stress,control,0.3333333333333333
S03,G03,1.4190270262365157,stress,control,0.3333333333333333
S04,G03,0.9454607690385697,stress,control,0.3333333333333333
S05,G03,0.6118162405803191,stress,control,0.3333333333333333
S06,G03,0.40007549493662564,stress,control,0.3333333333333333
S07,G03,0.07354978669416345,stress,control,0.3333333333333333
S08,G03,-0.2979694399351499,stress,treated,0.3333333333333333
