record_type,sample,gene_id,start,end,strand,family,sample_a,sample_b,gene_a,gene_b,identity,block_id
gene,Ref_A,Ref_A_g1,223,428,-,F1,,,,,,
gene,Ref_A,Ref_A_g2,481,668,+,F2,,,,,,
gene,Ref_A,Ref_A_g3,741,891,+,F3,,,,,,
gene,Ref_A,Ref_A_g4,928,1110,-,F4,,,,,,
gene,Ref_A,Ref_A_g5,1197,1317,+,F5,,,,,,
gene,Ref_A,Ref_A_g6,1392,1513,+,F1,,,,,,
gene,Ref_A,Ref_A_g7,1550,1695,-,F2,,,,,,
gene,Ref_A,Ref_A_g8,1767,2018,+,F3,,,,,,
gene,Ref_A,Ref_A_g9,2087,2266,+,F4,,,,,,
gene,Ref_B,Ref_B_g1,238,465,+,F2,,,,,,
gene,Ref_B,Ref_B_g2,496,750,+,F3,,,,,,
gene,Ref_B,Ref_B_g3,837,1058,-,F4,,,,,,
gene,Ref_B,Ref_B_g4,1136,1389,+,F5,,,,,,
gene,Ref_B,Ref_B_g5,1453,1684,+,F1,,,,,,
gene,Ref_B,Ref_B_g6,1714,1848,-,F2,,,,,,
gene,Ref_B,Ref_B_g7,1924,2080,+,F3,,,,,,
gene,Ref_B,Ref_B_g8,2118,2365,+,F4,,,,,,
gene,Ref_B,Ref_B_g9,2451,2692,-,F5,,,,,,
gene,Ref_C,Ref_C_g1,255,377,+,F3,,,,,,
gene,Ref_C,Ref_C_g2,458,624,-,F4,,,,,,
gene,Ref_C,Ref_C_g3,709,855,+,F5,,,,,,
gene,Ref_C,Ref_C_g4,935,1079,+,F1,,,,,,
gene,Ref_C,Ref_C_g5,1145,1379,-,F2,,,,,,
gene,Ref_C,Ref_C_g6,1435,1556,+,F3,,,,,,
gene,Ref_C,Ref_C_g7,1602,1846,+,F4,,,,,,
gene,Ref_C,Ref_C_g8,1897,2132,-,F5,,,,,,
gene,Ref_C,Ref_C_g9,2217,2410,+,F1,,,,,,
gene,Ref_D,Ref_D_g1,243,476,-,F4,,,,,,
gene,Ref_D,Ref_D_g2,544,749,+,F5,,,,,,
gene,Ref_D,Ref_D_g3,822,1020,+,F1,,,,,,
gene,Ref_D,Ref_D_g4,1050,1282,-,F2,,,,,,
gene,Ref_D,Ref_D_g5,1338,1521,+,F3,,,,,,
gene,Ref_D,Ref_D_g6,1609,1764,+,F4,,,,,,
gene,Ref_D,Ref_D_g7,1831,2025,-,F5,,,,,,
gene,Ref_D,Ref_D_g8,2106,2260,+,F1,,,,,,
gene,Ref_D,Ref_D_g9,2311,2513,+,F2,,,,,,
connector,,,,,,,Ref_A,Ref_B,Ref_A_g2,Ref_B_g2,0.62,B0_0
connector,,,,,,,Ref_A,Ref_B,Ref_A_g4,Ref_B_g4,0.72,B0_1
connector,,,,,,,Ref_A,Ref_B,Ref_A_g6,Ref_B_g6,0.82,B0_2
connector,,,,,,,Ref_A,Ref_B,Ref_A_g8,Ref_B_g8,0.92,B0_3
connector,,,,,,,Ref_B,Ref_C,Ref_B_g2,Ref_C_g2,0.65,B1_0
connector,,,,,,,Ref_B,Ref_C,Ref_B_g4,Ref_C_g4,0.75,B1_1
connector,,,,,,,Ref_B,Ref_C,Ref_B_g6,Ref_C_g6,0.85,B1_2
connector,,,,,,,Ref_B,Ref_C,Ref_B_g8,Ref_C_g8,0.95,B1_3
connector,,,,,,,Ref_C,Ref_D,Ref_C_g2,Ref_D_g2,0.68,B2_0
connector,,,,,,,Ref_C,Ref_D,Ref_C_g4,Ref_D_g4,0.78,B2_1
connector,,,,,,,Ref_C,Ref_D,Ref_C_g6,Ref_D_g6,0.88,B2_2
connector,,,,,,,Ref_C,Ref_D,Ref_C_g8,Ref_D_g8,0.98,B2_3
