term,group,estimate,lower,upper,p_value,row_order
clinical_1,clinical,-0.13710910559424602,-0.4881445810649885,0.2139263698764964,0.09940080834532691,0
clinical_2,clinical,0.029109312204514546,-0.22022683708250448,0.2784454614915336,0.1635064578615043,1
clinical_3,clinical,0.10557056013796762,-0.26729355289263546,0.4784346731685707,0.18,2
clinical_4,clinical,-0.01058913544864736,-0.2913645639173048,0.27018629302001007,0.024128063784447578,3
clinical_5,clinical,0.15920909154746277,-0.041684418464376566,0.36010260155930207,0.18,4
molecular_1,molecular,0.2614776499571162,-0.0890905537523089,0.6120458536665413,0.15715003148928383,10
molecular_2,molecular,0.019444268218505076,-0.31136053625499055,0.35024907269200073,0.07893001211502401,11
molecular_3,molecular,0.1529018310735476,-0.10132637818732365,0.40713004033441885,0.11803243657926085,12
molecular_4,molecular,0.6189207616770753,0.19904389996871474,1.038797623385436,0.028740599417576083,13
molecular_5,molecular,0.2581418310977235,-0.12481921470053442,0.6411028768959814,0.04268093237688041,14
treatment_1,treatment,0.4372408004067994,0.20357072252432745,0.6709108782892714,0.11576492324475009,20
treatment_2,treatment,0.07869440574367448,-0.14382693236240235,0.3012157438497513,0.18,21
treatment_3,treatment,0.09025066350215191,-0.10290288173349815,0.283404208737802,0.18,22
treatment_4,treatment,0.5050236789931545,0.27267307608581887,0.73737428190049,0.02701352886157456,23
treatment_5,treatment,0.1644373835074216,-0.09791898174776187,0.42679374876260506,0.0819315391484127,24
