stage,node,next_stage,next_node,value,group,node_order,label_priority
Input,I1,Program,P1,19.888,G1,0,1
Input,I1,Program,P3,20.121,G3,0,1
Input,I2,Program,P2,17.525,G3,1,1
Input,I2,Program,P4,23.941,G1,1,1
Input,I3,Program,P1,33.03,G3,2,1
Input,I3,Program,P2,18.619,G4,2,1
Input,I3,Program,P3,21.994,G1,2,1
Program,P1,State,S2,24.554,G2,0,1
Program,P2,State,S1,18.215,G2,1,1
Program,P2,State,S3,28.854,G4,1,1
Program,P3,State,S2,27.622,G4,2,1
Program,P4,State,S1,24.374,G4,3,1
Program,P4,State,S3,27.875,G2,3,1
State,S1,Outcome,O1,21.432,G1,0,1
State,S1,Outcome,O3,16.406,G3,0,1
State,S2,Outcome,O1,14.176,G2,1,1
State,S2,Outcome,O2,21.458,G3,1,1
State,S3,Outcome,O1,26.682,G3,2,1
State,S3,Outcome,O3,25.646,G1,2,1
