record_type,node_id,module,x,y,node_size,source,target,weight,term,score
node,M1_N01,M1,1.0744544228425341,-0.36456758439419723,0.969303239722521,,,,,
node,M1_N02,M1,0.9083478042088446,0.32457480106459147,0.8937959945088113,,,,,
node,M1_N03,M1,0.6220329249150839,0.22514389674461305,0.8181301161439547,,,,,
node,M1_N04,M1,0.6336077574908127,0.18367057145689794,0.58604704699189,,,,,
node,M1_N05,M1,1.3612249559000416,-0.2838756276035218,0.967572584595484,,,,,
node,M1_N06,M1,1.239759445530579,0.23310449712024695,0.9971010874842727,,,,,
node,M1_N07,M1,1.1527634493303454,0.5652566987304785,0.45328103377107803,,,,,
node,M1_N08,M1,1.2983696582906943,0.04235654566640033,0.7073518204812752,,,,,
edge,,M1,,,,M1_N01,M1_N02,0.7173406152724369,,
edge,,M1,,,,M1_N02,M1_N03,0.3837243812629559,,
edge,,M1,,,,M1_N03,M1_N04,0.8626861164081923,,
edge,,M1,,,,M1_N04,M1_N05,0.5960524181240254,,
edge,,M1,,,,M1_N05,M1_N06,0.5432945133637602,,
edge,,M1,,,,M1_N06,M1_N07,0.6144985317798906,,
edge,,M1,,,,M1_N07,M1_N08,0.6595614410487249,,
term,,M1,,,,,,,pathway_1,2.1662410670290413
term,,M1,,,,,,,pathway_2,1.6139360891913879
term,,M1,,,,,,,pathway_3,3.3390455862652573
term,,M1,,,,,,,pathway_4,1.5560463359816317
node,M2_N01,M2,-0.2150532542298502,1.402405490256593,0.8337862192195931,,,,,
node,M2_N02,M2,-0.16027640658236939,1.64769328533264,0.9301506847856247,,,,,
node,M2_N03,M2,-0.017657226530202606,0.8971281576027066,0.400418293565575,,,,,
node,M2_N04,M2,0.6092544684899884,1.045353452822511,0.3584071307411897,,,,,
node,M2_N05,M2,0.2647201318222557,1.0897134662733272,0.9906008606882006,,,,,
node,M2_N06,M2,0.21009498803149654,0.8719943890306858,0.7885510994289917,,,,,
node,M2_N07,M2,0.46270495060163397,1.3995926000286296,0.65817601604147,,,,,
node,M2_N08,M2,0.26032047578916717,1.6207967767746225,0.48029371645280483,,,,,
edge,,M2,,,,M2_N01,M2_N02,0.5948526389552038,,
edge,,M2,,,,M2_N02,M2_N03,0.3966190168539496,,
edge,,M2,,,,M2_N03,M2_N04,0.4575820843329029,,
edge,,M2,,,,M2_N04,M2_N05,0.7669528258509971,,
edge,,M2,,,,M2_N05,M2_N06,0.9971292014992079,,
edge,,M2,,,,M2_N06,M2_N07,0.8831510456276588,,
edge,,M2,,,,M2_N07,M2_N08,0.9492634232963495,,
term,,M2,,,,,,,pathway_1,3.3999683979276485
term,,M2,,,,,,,pathway_2,2.5785095785028282
term,,M2,,,,,,,pathway_3,3.092122205160087
term,,M2,,,,,,,pathway_4,2.337780360410901
node,M3_N01,M3,-1.703139170312365,0.3204193050260893,0.9020435181005119,,,,,
node,M3_N02,M3,-1.0508194656779968,-0.41748522966648094,0.6027898314847091,,,,,
node,M3_N03,M3,-1.152957868556667,0.10232504368060891,0.9896362959823507,,,,,
node,M3_N04,M3,-1.0489875739832888,-0.08291070993849355,0.6498679492858404,,,,,
node,M3_N05,M3,-1.347149790391948,0.0530708875195349,0.496426262505543,,,,,
node,M3_N06,M3,-1.4549025500417436,-0.28897590647022897,0.3996384852918214,,,,,
node,M3_N07,M3,-1.2336971613291443,-0.8626009725001185,0.354084813227581,,,,,
node,M3_N08,M3,-1.4273711012616308,-0.23408414301406869,0.7586605413319794,,,,,
edge,,M3,,,,M3_N01,M3_N02,0.509761721976695,,
edge,,M3,,,,M3_N02,M3_N03,0.3135006051884304,,
edge,,M3,,,,M3_N03,M3_N04,0.6875589122697872,,
edge,,M3,,,,M3_N04,M3_N05,0.3832315523264237,,
edge,,M3,,,,M3_N05,M3_N06,0.6093296895876736,,
edge,,M3,,,,M3_N06,M3_N07,0.5347482789393226,,
edge,,M3,,,,M3_N07,M3_N08,0.30653233164400207,,
term,,M3,,,,,,,pathway_1,1.6227716861434636
term,,M3,,,,,,,pathway_2,2.453503641301195
term,,M3,,,,,,,pathway_3,2.5439661690292663
term,,M3,,,,,,,pathway_4,2.4884344639317373
node,M4_N01,M4,-0.07301902932375044,-1.042943050417094,0.7922354881493292,,,,,
node,M4_N02,M4,0.3715306927087536,-1.1712233149922782,0.6146803418120328,,,,,
node,M4_N03,M4,-0.12066902007360085,-1.2788002100307405,0.36160062152630273,,,,,
node,M4_N04,M4,0.23265597345901928,-1.0626338511403175,0.7585151295207178,,,,,
node,M4_N05,M4,-0.2470908878407548,-0.8743117463809668,0.9547118355991618,,,,,
node,M4_N06,M4,-0.10011582546955952,-1.282821230511837,0.7538768659132076,,,,,
node,M4_N07,M4,-0.11059327718454096,-1.4419332501518813,0.412037748663678,,,,,
node,M4_N08,M4,-0.05760742307383688,-1.1180545398502302,0.5781199051539385,,,,,
edge,,M4,,,,M4_N01,M4_N02,0.6137278114297295,,
edge,,M4,,,,M4_N02,M4_N03,0.7628611412934294,,
edge,,M4,,,,M4_N03,M4_N04,0.9789975681545744,,
edge,,M4,,,,M4_N04,M4_N05,0.9899198426222167,,
edge,,M4,,,,M4_N05,M4_N06,0.7078554623819919,,
edge,,M4,,,,M4_N06,M4_N07,0.39745242411281745,,
edge,,M4,,,,M4_N07,M4_N08,0.9365350431122856,,
term,,M4,,,,,,,pathway_1,1.541440531193552
term,,M4,,,,,,,pathway_2,2.1942327607209355
term,,M4,,,,,,,pathway_3,2.479151903035514
term,,M4,,,,,,,pathway_4,1.9546372527738978
