source,target,weight,source_group,target_group,track_1,track_2,label_priority
N01,N03,0.52,G1,G3,0.0,0.564,1
N01,N06,0.43,G1,G2,0.0,0.75,1
N02,N04,0.653,G2,G4,0.362,0.997,0
N02,N07,0.883,G2,G3,0.362,0.695,0
N03,N05,0.75,G3,G1,0.675,0.744,0
N03,N08,0.968,G3,G4,0.675,0.41,0
N04,N06,1.09,G4,G2,0.896,0.769,1
N04,N09,1.056,G4,G1,0.896,0.393,1
N05,N07,0.641,G1,G3,0.996,0.969,0
N05,N10,0.727,G1,G2,0.996,0.98,0
N06,N08,0.56,G2,G4,0.961,0.46,0
N06,N11,0.722,G2,G3,0.961,0.487,0
N07,N09,0.928,G3,G1,0.795,0.417,1
N07,N12,1.008,G3,G4,0.795,0.395,1
N08,N10,1.247,G4,G2,0.522,0.966,0
N08,N13,0.941,G4,G1,0.522,0.845,0
N09,N11,0.688,G1,G3,0.178,0.994,0
N09,N14,0.644,G1,G2,0.178,0.986,0
N10,N12,0.689,G2,G4,-0.191,0.743,1
N10,N01,0.904,G2,G3,-0.191,0.454,1
N11,N13,0.797,G3,G1,-0.533,0.704,0
N11,N02,0.866,G3,G4,-0.533,0.938,0
N12,N14,1.056,G4,G2,-0.803,0.909,0
N12,N03,1.057,G4,G1,-0.803,0.532,0
N13,N01,0.36,G1,G3,-0.964,0.591,1
N13,N04,0.693,G1,G2,-0.964,0.693,1
N14,N02,0.672,G2,G4,-0.995,0.999,0
N14,N05,0.605,G2,G3,-0.995,0.331,0
