category,stack,value,line_value,annotation_value,group
C01,alpha,0.1105190115373241,0.4465535694653605,0.8149693903119141,control
C01,beta,0.06864397650068858,0.4465535694653605,0.8149693903119141,control
C01,gamma,0.2911048831112632,0.4465535694653605,0.8149693903119141,control
C01,delta,0.5297321288507241,0.4465535694653605,0.8149693903119141,control
C02,alpha,0.3938468114365922,0.4843538918646866,0.98137390553313,control
C02,beta,0.3647792848446515,0.4843538918646866,0.98137390553313,control
C02,gamma,0.09447404891093619,0.4843538918646866,0.98137390553313,control
C02,delta,0.1468998548078201,0.4843538918646866,0.98137390553313,control
C03,alpha,0.519547618879521,0.5237488843060227,0.7509968461254097,control
C03,beta,0.14235478958676154,0.5237488843060227,0.7509968461254097,control
C03,gamma,0.060775724339262274,0.5237488843060227,0.7509968461254097,control
C03,delta,0.27732186719445534,0.5237488843060227,0.7509968461254097,control
C04,alpha,0.35469277532118104,0.5504546717557804,0.32013068917530696,control
C04,beta,0.12384906316286903,0.5504546717557804,0.32013068917530696,control
C04,gamma,0.024884623666074756,0.5504546717557804,0.32013068917530696,control
C04,delta,0.49657353784987507,0.5504546717557804,0.32013068917530696,control
C05,alpha,0.35340575658220347,0.5449898053072162,-0.13590887803060445,control
C05,beta,0.296566159172416,0.5449898053072162,-0.13590887803060445,control
C05,gamma,0.2925331997591725,0.5449898053072162,-0.13590887803060445,control
C05,delta,0.05749488448620806,0.5449898053072162,-0.13590887803060445,control
C06,alpha,0.6755116116900131,0.4445864614479883,-0.4877131718574464,control
C06,beta,0.28140502876643886,0.4445864614479883,-0.4877131718574464,control
C06,gamma,0.00420002134871303,0.4445864614479883,-0.4877131718574464,control
C06,delta,0.03888333819483513,0.4445864614479883,-0.4877131718574464,control
C07,alpha,0.4086314965286338,0.34414397269483193,-0.9378182297559785,treated
C07,beta,0.39112833986292805,0.34414397269483193,-0.9378182297559785,treated
C07,gamma,0.08133472928659144,0.34414397269483193,-0.9378182297559785,treated
C07,delta,0.11890543432184673,0.34414397269483193,-0.9378182297559785,treated
C08,alpha,0.3731655305131559,0.34188207692699396,-1.026840542857459,treated
C08,beta,0.022314417809523375,0.34188207692699396,-1.026840542857459,treated
C08,gamma,0.23073558528010776,0.34188207692699396,-1.026840542857459,treated
C08,delta,0.3737844663972129,0.34188207692699396,-1.026840542857459,treated
C09,alpha,0.1556066301524826,0.3424444251500843,-0.965239588528719,treated
C09,beta,0.20689115870063735,0.3424444251500843,-0.965239588528719,treated
C09,gamma,0.5146164983383433,0.3424444251500843,-0.965239588528719,treated
C09,delta,0.12288571280853676,0.3424444251500843,-0.965239588528719,treated
C10,alpha,0.014765576584737785,0.3152897295420435,-0.6336624139239753,treated
C10,beta,0.1478265734795091,0.3152897295420435,-0.6336624139239753,treated
C10,gamma,0.8372120485342743,0.3152897295420435,-0.6336624139239753,treated
C10,delta,0.00019580140147880477,0.3152897295420435,-0.6336624139239753,treated
C11,alpha,0.3579199669344972,0.36233126650406444,-0.5037613551942065,treated
C11,beta,0.1323402082237233,0.36233126650406444,-0.5037613551942065,treated
C11,gamma,0.46906716687105243,0.36233126650406444,-0.5037613551942065,treated
C11,delta,0.04067265797072713,0.36233126650406444,-0.5037613551942065,treated
C12,alpha,0.11452665341258937,0.3899366646883153,-0.2948041979609875,treated
C12,beta,0.6036454749597514,0.3899366646883153,-0.2948041979609875,treated
C12,gamma,0.1908301196449398,0.3899366646883153,-0.2948041979609875,treated
C12,delta,0.0909977519827195,0.3899366646883153,-0.2948041979609875,treated
