x,y,z,value,panel,group,label,surface,trajectory,color
-3.5,-3.5,4.95,4.95,main,surface,,manifold,,
-2.5,-3.5,4.301,4.301,main,surface,,manifold,,
-1.5,-3.5,3.808,3.808,main,surface,,manifold,,
-0.5,-3.5,3.536,3.536,main,surface,,manifold,,
0.5,-3.5,3.536,3.536,main,surface,,manifold,,
1.5,-3.5,3.808,3.808,main,surface,,manifold,,
2.5,-3.5,4.301,4.301,main,surface,,manifold,,
3.5,-3.5,4.95,4.95,main,surface,,manifold,,
-3.5,-2.5,4.301,4.301,main,surface,,manifold,,
-2.5,-2.5,3.536,3.536,main,surface,,manifold,,
-1.5,-2.5,2.915,2.915,main,surface,,manifold,,
-0.5,-2.5,2.55,2.55,main,surface,,manifold,,
0.5,-2.5,2.55,2.55,main,surface,,manifold,,
1.5,-2.5,2.915,2.915,main,surface,,manifold,,
2.5,-2.5,3.536,3.536,main,surface,,manifold,,
3.5,-2.5,4.301,4.301,main,surface,,manifold,,
-3.5,-1.5,3.808,3.808,main,surface,,manifold,,
-2.5,-1.5,2.915,2.915,main,surface,,manifold,,
-1.5,-1.5,2.121,2.121,main,surface,,manifold,,
-0.5,-1.5,1.581,1.581,main,surface,,manifold,,
0.5,-1.5,1.581,1.581,main,surface,,manifold,,
1.5,-1.5,2.121,2.121,main,surface,,manifold,,
2.5,-1.5,2.915,2.915,main,surface,,manifold,,
3.5,-1.5,3.808,3.808,main,surface,,manifold,,
-3.5,-0.5,3.536,3.536,main,surface,,manifold,,
-2.5,-0.5,2.55,2.55,main,surface,,manifold,,
-1.5,-0.5,1.581,1.581,main,surface,,manifold,,
-0.5,-0.5,0.707,0.707,main,surface,,manifold,,
0.5,-0.5,0.707,0.707,main,surface,,manifold,,
1.5,-0.5,1.581,1.581,main,surface,,manifold,,
2.5,-0.5,2.55,2.55,main,surface,,manifold,,
3.5,-0.5,3.536,3.536,main,surface,,manifold,,
-3.5,0.5,3.536,3.536,main,surface,,manifold,,
-2.5,0.5,2.55,2.55,main,surface,,manifold,,
-1.5,0.5,1.581,1.581,main,surface,,manifold,,
-0.5,0.5,0.707,0.707,main,surface,,manifold,,
0.5,0.5,0.707,0.707,main,surface,,manifold,,
1.5,0.5,1.581,1.581,main,surface,,manifold,,
2.5,0.5,2.55,2.55,main,surface,,manifold,,
3.5,0.5,3.536,3.536,main,surface,,manifold,,
-3.5,1.5,3.808,3.808,main,surface,,manifold,,
-2.5,1.5,2.915,2.915,main,surface,,manifold,,
-1.5,1.5,2.121,2.121,main,surface,,manifold,,
-0.5,1.5,1.581,1.581,main,surface,,manifold,,
0.5,1.5,1.581,1.581,main,surface,,manifold,,
1.5,1.5,2.121,2.121,main,surface,,manifold,,
2.5,1.5,2.915,2.915,main,surface,,manifold,,
3.5,1.5,3.808,3.808,main,surface,,manifold,,
-3.5,2.5,4.301,4.301,main,surface,,manifold,,
-2.5,2.5,3.536,3.536,main,surface,,manifold,,
-1.5,2.5,2.915,2.915,main,surface,,manifold,,
-0.5,2.5,2.55,2.55,main,surface,,manifold,,
0.5,2.5,2.55,2.55,main,surface,,manifold,,
1.5,2.5,2.915,2.915,main,surface,,manifold,,
2.5,2.5,3.536,3.536,main,surface,,manifold,,
3.5,2.5,4.301,4.301,main,surface,,manifold,,
-3.5,3.5,4.95,4.95,main,surface,,manifold,,
-2.5,3.5,4.301,4.301,main,surface,,manifold,,
-1.5,3.5,3.808,3.808,main,surface,,manifold,,
-0.5,3.5,3.536,3.536,main,surface,,manifold,,
0.5,3.5,3.536,3.536,main,surface,,manifold,,
1.5,3.5,3.808,3.808,main,surface,,manifold,,
2.5,3.5,4.301,4.301,main,surface,,manifold,,
3.5,3.5,4.95,4.95,main,surface,,manifold,,
