row_id,column_id,value,row_group,column_group,annotation_track,annotation_value,label,size_value,facet
R1,C1,1.357,RG1,CG1,class,A2,,1,
R1,C2,1.02,RG1,CG0,class,A3,,2,
R1,C3,0.55,RG1,CG1,class,A0,,3,
R1,C4,0.063,RG1,CG0,class,A1,,4,
R1,C5,-0.322,RG1,CG1,class,A2,,5,
R2,C1,1.719,RG2,CG1,class,A3,,2,
R2,C2,1.382,RG2,CG0,class,A0,,1,
R2,C3,0.912,RG2,CG1,class,A1,,2,
R2,C4,0.425,RG2,CG0,class,A2,,3,
R2,C5,0.04,RG2,CG1,class,A3,,4,
R3,C1,1.875,RG0,CG1,class,A0,,3,
R3,C2,1.538,RG0,CG0,class,A1,,2,
R3,C3,1.068,RG0,CG1,class,A2,,1,
R3,C4,0.581,RG0,CG0,class,A3,,2,
R3,C5,0.196,RG0,CG1,class,A0,,3,
R4,C1,1.787,RG1,CG1,class,A1,,4,
R4,C2,1.45,RG1,CG0,class,A2,,3,
R4,C3,0.98,RG1,CG1,class,A3,,2,
R4,C4,0.493,RG1,CG0,class,A0,,1,
R4,C5,0.108,RG1,CG1,class,A1,,2,
R5,C1,1.476,RG2,CG1,class,A2,,5,
R5,C2,1.139,RG2,CG0,class,A3,,4,
R5,C3,0.669,RG2,CG1,class,A0,,3,
R5,C4,0.182,RG2,CG0,class,A1,,2,
R5,C5,-0.203,RG2,CG1,class,A2,,1,
R6,C1,1.019,RG0,CG1,class,A3,,6,
R6,C2,0.681,RG0,CG0,class,A0,,5,
R6,C3,0.212,RG0,CG1,class,A1,,4,
R6,C4,-0.275,RG0,CG0,class,A2,,3,
R6,C5,-0.66,RG0,CG1,class,A3,,2,
