x,y,group,value,size_value,label,threshold,facet,highlight
0.315,0.062,G1,0.841,11,P1,0.5,,False
0.524,0.24,G2,0.909,12,P2,0.5,,False
0.54,0.511,G3,0.141,13,P3,0.5,,False
0.314,0.841,G0,-0.757,14,P4,0.5,,False
-0.16,1.186,G1,-0.959,15,P5,0.5,,False
-0.832,1.496,G2,-0.279,16,P6,0.5,,False
-1.612,1.722,G3,0.657,17,P7,0.5,,True
-2.372,1.819,G0,0.989,18,P8,0.5,,False
-2.97,1.751,G1,0.412,19,P9,0.5,,False
-3.272,1.496,G2,-0.544,20,P10,0.5,,False
-3.173,1.05,G3,-1.0,21,P11,0.5,,False
-2.615,0.423,G0,-0.537,22,P12,0.5,,False
-1.604,-0.352,G1,0.42,23,P13,0.5,,False
-0.213,-1.228,G2,0.991,24,P14,0.5,,True
1.418,-2.143,G3,0.65,25,P15,0.5,,False
3.103,-3.027,G0,-0.288,26,P16,0.5,,False
4.623,-3.804,G1,-0.961,27,P17,0.5,,False
5.761,-4.399,G2,-0.751,28,P18,0.5,,False
6.325,-4.747,G3,0.15,29,P19,0.5,,False
6.182,-4.795,G0,0.913,30,P20,0.5,,False
5.277,-4.509,G1,0.837,31,P21,0.5,,True
3.648,-3.88,G2,-0.009,32,P22,0.5,,False
1.428,-2.923,G3,-0.846,33,P23,0.5,,False
-1.164,-1.676,G0,-0.906,34,P24,0.5,,False
-3.843,-0.207,G1,-0.132,35,P25,0.5,,False
-6.293,1.398,G2,0.763,36,P26,0.5,,False
-8.2,3.038,G3,0.956,37,P27,0.5,,False
-9.294,4.599,G0,0.271,38,P28,0.5,,True
-9.385,5.967,G1,-0.664,39,P29,0.5,,False
