group,value,subgroup,paired_id,p_value,facet,label
G1,0.377,S1,P0,0.02,F1,
G2,0.718,S0,P1,0.02,F2,
G3,0.991,S1,P1,0.02,F0,
G0,1.172,S0,P2,0.02,F1,
G1,1.245,S1,P2,0.02,F2,
G2,1.209,S0,P3,0.02,F0,
G3,1.073,S1,P3,0.02,F1,
G0,0.857,S0,P4,0.02,F2,
G1,0.591,S1,P4,0.02,F0,
G2,0.309,S0,P5,0.02,F1,
G3,0.049,S1,P5,0.02,F2,
G0,-0.157,S0,P6,0.02,F0,
G1,-0.279,S1,P6,0.02,F1,
G2,-0.299,S0,P7,0.02,F2,
G3,-0.209,S1,P7,0.02,F0,
G0,-0.013,S0,P8,0.02,F1,
G1,0.272,S1,P8,0.02,F2,
G2,0.621,S0,P9,0.02,F0,
G3,1.0,S1,P9,0.02,F1,
G0,1.374,S0,P10,0.02,F2,
G1,1.707,S1,P10,0.02,F0,
G2,1.967,S0,P11,0.02,F1,
G3,2.133,S1,P11,0.02,F2,
G0,2.189,S0,P12,0.02,F0,
