segment_id,feature_id,start,end,strand,feature_class,cluster,label,link_id,similarity,track,color_class
S1,g1,220,370,+,F1,C1,g1,,,main,
S2,g2,440,590,-,F2,C0,g2,,,main,
S0,g3,660,810,+,F3,C1,g3,,,main,
S1,g4,880,1030,-,F0,C0,g4,,,main,
S2,g5,1100,1250,+,F1,C1,g5,,,main,
S0,g6,1320,1470,-,F2,C0,g6,,,main,
S1,g7,1540,1690,+,F3,C1,g7,,,main,
S2,g8,1760,1910,-,F0,C0,g8,,,main,
S0,g9,1980,2130,+,F1,C1,g9,,,main,
S1,g10,2200,2350,-,F2,C0,g10,,,main,
S2,g11,2420,2570,+,F3,C1,g11,,,main,
S0,g12,2640,2790,-,F0,C0,g12,,,main,
S1,g13,2860,3010,+,F1,C1,g13,,,main,
