"group","gene","correlation","p_value","direction","p_value_bin","abs_correlation"
"Group1","OPI10",-0.142134852846372,2e-05,"negative","<0.0001",0.142134852846372
"Group1","AGA2",0.30228313274812,2e-05,"positive","<0.0001",0.30228313274812
"Group1","ERG26",0.207239587121384,2e-05,"positive","<0.0001",0.207239587121384
"Group1","HMG1",-0.2523393318979,2e-05,"negative","<0.0001",0.2523393318979
"Group1","NOP6",0.0137386963382782,2e-05,"positive","<0.0001",0.0137386963382782
"Group1","HSP26",0.196881056527462,2e-04,"positive","<0.001",0.196881056527462
"Group1","TRP3",-0.285507303803461,2e-04,"negative","<0.001",0.285507303803461
"Group1","ARO10",0.529151923106669,2e-04,"positive","<0.001",0.529151923106669
"Group1","cyp524A1",0.335913541186582,2e-04,"positive","<0.001",0.335913541186582
"Group1","ERG25",-0.0790693014655943,2e-04,"negative","<0.001",0.0790693014655943
"Group1","CDK6",0.196701264052495,0.0230062016099691,"positive","<0.05",0.196701264052495
"Group1","DAP1",-0.293468891228245,0.0630644108355045,"negative",">0.05",0.293468891228245
"Group1","HGT1",-0.4748866887867,0.032718153744936,"negative","<0.05",0.4748866887867
"Group1","CWH41",0.0396396812925243,0.0706413923203945,"positive",">0.05",0.0396396812925243
"Group1","RTT109",-0.133747940415455,0.0752373827435076,"negative",">0.05",0.133747940415455
"Group1","RLP24",-0.678381438094617,0.00364451995119452,"negative","<0.01",0.678381438094617
"Group1","SLX9",-0.0824853692680915,0.0422484390437603,"negative","<0.05",0.0824853692680915
"Group1","ERG3",-0.00544750137425055,0.0713935235515237,"negative",">0.05",0.00544750137425055
"Group1","TAT2",0.00111788574090791,0.0441148011572659,"positive","<0.05",0.00111788574090791
"Group2","OPI10",-0.394855640101689,0.0365291788242757,"negative","<0.05",0.394855640101689
"Group2","AGA2",0.0832907383202972,0.0765466676279902,"positive",">0.05",0.0832907383202972
"Group2","ERG26",0.210989532579993,0.0362667324952781,"positive","<0.05",0.210989532579993
"Group2","HMG1",-0.494101477453288,0.0542056508362293,"negative",">0.05",0.494101477453288
"Group2","NOP6",-0.507360728799122,0.0458106721565127,"negative","<0.05",0.507360728799122
"Group2","HSP26",-0.45932439636851,0.0082339746132493,"negative","<0.01",0.45932439636851
"Group2","TRP3",0.0492144350900065,0.0719859976321459,"positive",">0.05",0.0492144350900065
"Group2","ARO10",-0.437787929262492,0.0196870187483728,"negative","<0.05",0.437787929262492
"Group2","cyp524A1",-0.415755100054289,0.0033647626824677,"negative","<0.01",0.415755100054289
"Group2","ERG25",0.0672689814160146,0.0262336575426161,"positive","<0.05",0.0672689814160146
"Group2","CDK6",0.536346207743808,0.0763602919317782,"positive",">0.05",0.536346207743808
"Group2","DAP1",-0.129692172739502,0.0711631452850997,"negative",">0.05",0.129692172739502
"Group2","HGT1",0.147314169748233,0.055424272492528,"positive",">0.05",0.147314169748233
"Group2","CWH41",-0.29095676917218,0.0512405451014638,"negative",">0.05",0.29095676917218
"Group2","RTT109",-0.316651028020472,0.0795415821298957,"negative",">0.05",0.316651028020472
"Group2","RLP24",-0.282631651214168,0.0524564639292657,"negative",">0.05",0.282631651214168
"Group2","SLX9",0.440037991238747,0.056682437453419,"positive",">0.05",0.440037991238747
"Group2","ERG3",0.422617357612303,0.0435252819769084,"positive","<0.05",0.422617357612303
"Group2","TAT2",-0.519496456562557,0.0475313616357744,"negative","<0.05",0.519496456562557
"Group3","OPI10",0.339051517716949,0.0231327789835632,"positive","<0.05",0.339051517716949
"Group3","AGA2",-0.15743985266081,0.0117690917849541,"negative","<0.05",0.15743985266081
"Group3","ERG26",-0.168548579268593,0.0770419386029244,"negative",">0.05",0.168548579268593
"Group3","HMG1",0.097303025336829,0.0721839236095548,"positive",">0.05",0.097303025336829
"Group3","NOP6",-0.395019087162875,0.0552564222738147,"negative",">0.05",0.395019087162875
"Group3","HSP26",-0.388080494206195,0.0636373934149742,"negative",">0.05",0.388080494206195
"Group3","TRP3",-0.588017000435366,0.00196909476071596,"negative","<0.01",0.588017000435366
"Group3","ARO10",0.336114460328909,0.0382236776873469,"positive","<0.05",0.336114460328909
"Group3","cyp524A1",0.459781517943478,0.0606767630018294,"positive",">0.05",0.459781517943478
"Group3","ERG25",-0.241327252917248,0.0173126348666847,"negative","<0.05",0.241327252917248
"Group3","CDK6",0.586618087024942,0.0254544806107879,"positive","<0.05",0.586618087024942
"Group3","DAP1",0.519156015566886,0.018530062828213,"positive","<0.05",0.519156015566886
"Group3","HGT1",-0.314355150799698,0.0114240017905831,"negative","<0.05",0.314355150799698
"Group3","CWH41",-0.161653869804988,0.0331637068651617,"negative","<0.05",0.161653869804988
