x,y,value,group,label,facet,source,target,weight,lower,upper
0.0,0.0,0.0,myelin,myelin,,0.0,0.0,0.0,-5.802298395176404,5.802298395176404
1.0,1.0,1.0,myelin,myelin,,1.0,1.0,1.0,-4.802298395176404,6.802298395176404
2.0,2.0,2.0,myelin,myelin,,2.0,2.0,2.0,-3.802298395176404,7.802298395176404
3.0,3.0,3.0,myelin,myelin,,3.0,3.0,3.0,-2.802298395176404,8.802298395176404
4.0,4.0,4.0,myelin,myelin,,4.0,4.0,4.0,-1.802298395176404,9.802298395176404
5.0,5.0,5.0,myelin,myelin,,5.0,5.0,5.0,-0.802298395176404,10.802298395176404
6.0,6.0,6.0,myelin,myelin,,6.0,6.0,6.0,0.197701604823596,11.802298395176404
7.0,7.0,7.0,myelin,myelin,,7.0,7.0,7.0,1.197701604823596,12.802298395176404
8.0,8.0,8.0,myelin,myelin,,8.0,8.0,8.0,2.197701604823596,13.802298395176404
9.0,9.0,9.0,myelin,myelin,,9.0,9.0,9.0,3.197701604823596,14.802298395176404
10.0,10.0,10.0,myelin,myelin,,10.0,10.0,10.0,4.197701604823596,15.802298395176404
11.0,11.0,11.0,myelin,myelin,,11.0,11.0,11.0,5.197701604823596,16.802298395176404
12.0,12.0,12.0,myelin,myelin,,12.0,12.0,12.0,6.197701604823596,17.802298395176404
13.0,13.0,13.0,dendritic,dendritic,,13.0,13.0,13.0,7.197701604823596,18.802298395176404
14.0,14.0,14.0,dendritic,dendritic,,14.0,14.0,14.0,8.197701604823596,19.802298395176404
15.0,15.0,15.0,dendritic,dendritic,,15.0,15.0,15.0,9.197701604823596,20.802298395176404
16.0,16.0,16.0,dendritic,dendritic,,16.0,16.0,16.0,10.197701604823596,21.802298395176404
17.0,17.0,17.0,dendritic,dendritic,,17.0,17.0,17.0,11.197701604823596,22.802298395176404
18.0,18.0,18.0,dendritic,dendritic,,18.0,18.0,18.0,12.197701604823596,23.802298395176404
19.0,19.0,19.0,dendritic,dendritic,,19.0,19.0,19.0,13.197701604823596,24.802298395176404
20.0,20.0,20.0,dendritic,dendritic,,20.0,20.0,20.0,14.197701604823596,25.802298395176404
21.0,21.0,21.0,dendritic,dendritic,,21.0,21.0,21.0,15.197701604823596,26.802298395176404
22.0,22.0,22.0,dendritic,dendritic,,22.0,22.0,22.0,16.197701604823596,27.802298395176404
23.0,23.0,23.0,dendritic,dendritic,,23.0,23.0,23.0,17.197701604823596,28.802298395176404
24.0,24.0,24.0,dendritic,dendritic,,24.0,24.0,24.0,18.197701604823596,29.802298395176404
25.0,25.0,25.0,dendritic,dendritic,,25.0,25.0,25.0,19.197701604823596,30.802298395176404
26.0,26.0,26.0,dendritic,dendritic,,26.0,26.0,26.0,20.197701604823596,31.802298395176404
27.0,27.0,27.0,dendritic,dendritic,,27.0,27.0,27.0,21.197701604823596,32.80229839517641
28.0,28.0,28.0,dendritic,dendritic,,28.0,28.0,28.0,22.197701604823596,33.80229839517641
29.0,29.0,29.0,dendritic,dendritic,,29.0,29.0,29.0,23.197701604823596,34.80229839517641
30.0,30.0,30.0,ion transport.,ion transport.,,30.0,30.0,30.0,24.197701604823596,35.80229839517641
31.0,31.0,31.0,ion transport.,ion transport.,,31.0,31.0,31.0,25.197701604823596,36.80229839517641
32.0,32.0,32.0,ion transport.,ion transport.,,32.0,32.0,32.0,26.197701604823596,37.80229839517641
33.0,33.0,33.0,ion transport.,ion transport.,,33.0,33.0,33.0,27.197701604823596,38.80229839517641
34.0,34.0,34.0,ion transport.,ion transport.,,34.0,34.0,34.0,28.197701604823596,39.80229839517641
35.0,35.0,35.0,ion transport.,ion transport.,,35.0,35.0,35.0,29.197701604823596,40.80229839517641
36.0,36.0,36.0,ion transport.,ion transport.,,36.0,36.0,36.0,30.197701604823596,41.80229839517641
37.0,37.0,37.0,ion transport.,ion transport.,,37.0,37.0,37.0,31.197701604823596,42.80229839517641
38.0,38.0,38.0,ion transport.,ion transport.,,38.0,38.0,38.0,32.19770160482359,43.80229839517641
39.0,39.0,39.0,ion transport.,ion transport.,,39.0,39.0,39.0,33.19770160482359,44.80229839517641
40.0,40.0,40.0,ion transport.,ion transport.,,40.0,40.0,40.0,34.19770160482359,45.80229839517641
41.0,41.0,41.0,ion transport.,ion transport.,,41.0,41.0,41.0,35.19770160482359,46.80229839517641
42.0,42.0,42.0,ion transport.,ion transport.,,42.0,42.0,42.0,36.19770160482359,47.80229839517641
43.0,43.0,43.0,ion transport.,ion transport.,,43.0,43.0,43.0,37.19770160482359,48.80229839517641
44.0,44.0,44.0,ion transport.,ion transport.,,44.0,44.0,44.0,38.19770160482359,49.80229839517641
45.0,45.0,45.0,ion transport.,ion transport.,,45.0,45.0,45.0,39.19770160482359,50.80229839517641
46.0,46.0,46.0,ion transport.,ion transport.,,46.0,46.0,46.0,40.19770160482359,51.80229839517641
47.0,47.0,47.0,ion transport.,ion transport.,,47.0,47.0,47.0,41.19770160482359,52.80229839517641
48.0,48.0,48.0,ion transport.,ion transport.,,48.0,48.0,48.0,42.19770160482359,53.80229839517641
49.0,49.0,49.0,ion transport.,ion transport.,,49.0,49.0,49.0,43.19770160482359,54.80229839517641
50.0,50.0,50.0,ion transport.,ion transport.,,50.0,50.0,50.0,44.19770160482359,55.80229839517641
51.0,51.0,51.0,ion transport.,ion transport.,,51.0,51.0,51.0,45.19770160482359,56.80229839517641
52.0,52.0,52.0,ion transport.,ion transport.,,52.0,52.0,52.0,46.19770160482359,57.80229839517641
53.0,53.0,53.0,ion transport.,ion transport.,,53.0,53.0,53.0,47.19770160482359,58.80229839517641
54.0,54.0,54.0,ion transport.,ion transport.,,54.0,54.0,54.0,48.19770160482359,59.80229839517641
55.0,55.0,55.0,ion transport.,ion transport.,,55.0,55.0,55.0,49.19770160482359,60.80229839517641
56.0,56.0,56.0,ion transport.,ion transport.,,56.0,56.0,56.0,50.19770160482359,61.80229839517641
57.0,57.0,57.0,synaptic,synaptic,,57.0,57.0,57.0,51.19770160482359,62.80229839517641
58.0,58.0,58.0,synaptic,synaptic,,58.0,58.0,58.0,52.19770160482359,63.80229839517641
59.0,59.0,59.0,synaptic,synaptic,,59.0,59.0,59.0,53.19770160482359,64.80229839517641
60.0,60.0,60.0,synaptic,synaptic,,60.0,60.0,60.0,54.19770160482359,65.80229839517641
61.0,61.0,61.0,synaptic,synaptic,,61.0,61.0,61.0,55.19770160482359,66.80229839517641
62.0,62.0,62.0,synaptic,synaptic,,62.0,62.0,62.0,56.19770160482359,67.80229839517641
63.0,63.0,63.0,synaptic,synaptic,,63.0,63.0,63.0,57.19770160482359,68.80229839517641
64.0,64.0,64.0,synaptic,synaptic,,64.0,64.0,64.0,58.19770160482359,69.80229839517641
65.0,65.0,65.0,synaptic,synaptic,,65.0,65.0,65.0,59.19770160482359,70.80229839517641
66.0,66.0,66.0,synaptic,synaptic,,66.0,66.0,66.0,60.19770160482359,71.80229839517641
67.0,67.0,67.0,synaptic,synaptic,,67.0,67.0,67.0,61.19770160482359,72.80229839517641
68.0,68.0,68.0,synaptic,synaptic,,68.0,68.0,68.0,62.19770160482359,73.80229839517641
69.0,69.0,69.0,synaptic,synaptic,,69.0,69.0,69.0,63.19770160482359,74.80229839517641
70.0,70.0,70.0,synaptic,synaptic,,70.0,70.0,70.0,64.19770160482359,75.80229839517641
71.0,71.0,71.0,metabolic,metabolic,,71.0,71.0,71.0,65.19770160482359,76.80229839517641
72.0,72.0,72.0,metabolic,metabolic,,72.0,72.0,72.0,66.19770160482359,77.80229839517641
73.0,73.0,73.0,metabolic,metabolic,,73.0,73.0,73.0,67.19770160482359,78.80229839517641
74.0,74.0,74.0,metabolic,metabolic,,74.0,74.0,74.0,68.19770160482359,79.80229839517641
75.0,75.0,75.0,metabolic,metabolic,,75.0,75.0,75.0,69.19770160482359,80.80229839517641
76.0,76.0,76.0,metabolic,metabolic,,76.0,76.0,76.0,70.19770160482359,81.80229839517641
77.0,77.0,77.0,metabolic,metabolic,,77.0,77.0,77.0,71.19770160482359,82.80229839517641
78.0,78.0,78.0,metabolic,metabolic,,78.0,78.0,78.0,72.19770160482359,83.80229839517641
79.0,79.0,79.0,metabolic,metabolic,,79.0,79.0,79.0,73.19770160482359,84.80229839517641
80.0,80.0,80.0,metabolic,metabolic,,80.0,80.0,80.0,74.19770160482359,85.80229839517641
81.0,81.0,81.0,metabolic,metabolic,,81.0,81.0,81.0,75.19770160482359,86.80229839517641
82.0,82.0,82.0,metabolic,metabolic,,82.0,82.0,82.0,76.19770160482359,87.80229839517641
83.0,83.0,83.0,metabolic,metabolic,,83.0,83.0,83.0,77.19770160482359,88.80229839517641
84.0,84.0,84.0,metabolic,metabolic,,84.0,84.0,84.0,78.19770160482359,89.80229839517641
85.0,85.0,85.0,metabolic,metabolic,,85.0,85.0,85.0,79.19770160482359,90.80229839517641
86.0,86.0,86.0,metabolic,metabolic,,86.0,86.0,86.0,80.19770160482359,91.80229839517641
87.0,87.0,87.0,metabolic,metabolic,,87.0,87.0,87.0,81.19770160482359,92.80229839517641
88.0,88.0,88.0,metabolic,metabolic,,88.0,88.0,88.0,82.19770160482359,93.80229839517641
89.0,89.0,89.0,metabolic,metabolic,,89.0,89.0,89.0,83.19770160482359,94.80229839517641
90.0,90.0,90.0,metabolic,metabolic,,90.0,90.0,90.0,84.19770160482359,95.80229839517641
91.0,91.0,91.0,metabolic,metabolic,,91.0,91.0,91.0,85.19770160482359,96.80229839517641
92.0,92.0,92.0,metabolic,metabolic,,92.0,92.0,92.0,86.19770160482359,97.80229839517641
93.0,93.0,93.0,metabolic,metabolic,,93.0,93.0,93.0,87.19770160482359,98.80229839517641
94.0,94.0,94.0,metabolic,metabolic,,94.0,94.0,94.0,88.19770160482359,99.80229839517641
95.0,95.0,95.0,metabolic,metabolic,,95.0,95.0,95.0,89.19770160482359,100.80229839517641
96.0,96.0,96.0,metabolic,metabolic,,96.0,96.0,96.0,90.19770160482359,101.80229839517641
97.0,97.0,97.0,metabolic,metabolic,,97.0,97.0,97.0,91.19770160482359,102.80229839517641
98.0,98.0,98.0,metabolic,metabolic,,98.0,98.0,98.0,92.19770160482359,103.80229839517641
99.0,99.0,99.0,metabolic,metabolic,,99.0,99.0,99.0,93.19770160482359,104.80229839517641
