x,y,value,group,label,facet,source,target,weight,lower,upper
item_01,0,0,A,item_01,,item_01,0,0,-2.1071307505705477,2.1071307505705477
item_02,1,1,B,item_02,,item_02,1,1,-1.1071307505705477,3.1071307505705477
item_03,2,2,C,item_03,,item_03,2,2,-0.10713075057054766,4.107130750570548
item_04,3,3,A,item_04,,item_04,3,3,0.8928692494294523,5.107130750570548
item_05,4,4,B,item_05,,item_05,4,4,1.8928692494294523,6.107130750570548
item_06,5,5,C,item_06,,item_06,5,5,2.8928692494294523,7.107130750570548
item_07,6,6,A,item_07,,item_07,6,6,3.8928692494294523,8.107130750570548
item_08,7,7,B,item_08,,item_08,7,7,4.892869249429452,9.107130750570548
item_09,8,8,C,item_09,,item_09,8,8,5.892869249429452,10.107130750570548
item_10,9,9,A,item_10,,item_10,9,9,6.892869249429452,11.107130750570548
item_11,10,10,B,item_11,,item_11,10,10,7.892869249429452,12.107130750570548
item_12,11,11,C,item_12,,item_12,11,11,8.892869249429452,13.107130750570548
item_13,12,12,A,item_13,,item_13,12,12,9.892869249429452,14.107130750570548
item_14,13,13,B,item_14,,item_14,13,13,10.892869249429452,15.107130750570548
item_15,14,14,C,item_15,,item_15,14,14,11.892869249429452,16.107130750570548
item_16,15,15,A,item_16,,item_16,15,15,12.892869249429452,17.107130750570548
item_17,16,16,B,item_17,,item_17,16,16,13.892869249429452,18.107130750570548
item_18,17,17,C,item_18,,item_18,17,17,14.892869249429452,19.107130750570548
item_19,18,18,A,item_19,,item_19,18,18,15.892869249429452,20.107130750570548
item_20,19,19,B,item_20,,item_20,19,19,16.892869249429452,21.107130750570548
item_21,20,20,C,item_21,,item_21,20,20,17.892869249429452,22.107130750570548
item_22,21,21,A,item_22,,item_22,21,21,18.892869249429452,23.107130750570548
item_23,22,22,B,item_23,,item_23,22,22,19.892869249429452,24.107130750570548
item_24,23,23,C,item_24,,item_24,23,23,20.892869249429452,25.107130750570548
item_25,24,24,A,item_25,,item_25,24,24,21.892869249429452,26.107130750570548
item_26,25,25,B,item_26,,item_26,25,25,22.892869249429452,27.107130750570548
item_27,26,26,C,item_27,,item_27,26,26,23.892869249429452,28.107130750570548
item_28,27,27,A,item_28,,item_28,27,27,24.892869249429452,29.107130750570548
item_29,28,28,B,item_29,,item_29,28,28,25.892869249429452,30.107130750570548
item_30,29,29,C,item_30,,item_30,29,29,26.892869249429452,31.107130750570548
item_31,30,30,A,item_31,,item_31,30,30,27.892869249429452,32.10713075057055
item_32,31,31,B,item_32,,item_32,31,31,28.892869249429452,33.10713075057055
item_33,32,32,C,item_33,,item_33,32,32,29.892869249429452,34.10713075057055
item_34,33,33,A,item_34,,item_34,33,33,30.892869249429452,35.10713075057055
item_35,34,34,B,item_35,,item_35,34,34,31.892869249429452,36.10713075057055
item_36,35,35,C,item_36,,item_36,35,35,32.89286924942945,37.10713075057055
