x,y,value,group,label,facet,source,target,weight,lower,upper
BP,46/2271,7.57282128867651e-10,,BP,149/18866,BP,46/2271,7.57282128867651e-10,-8.697747278384901e-05,8.697898734810674e-05
BP,104/2271,1.71811018999607e-09,,BP,483/18866,BP,104/2271,1.71811018999607e-09,-8.697651195578788e-05,8.697994817616787e-05
BP,18/2271,2.3343503881473e-09,,BP,32/18866,BP,18/2271,2.3343503881473e-09,-8.697589571558973e-05,8.698056441636602e-05
BP,20/2271,2.64886676911917e-09,,BP,39/18866,BP,20/2271,2.64886676911917e-09,-8.697558119920876e-05,8.698087893274699e-05
BP,79/2271,4.70052412504928e-09,,BP,340/18866,BP,79/2271,4.70052412504928e-09,-8.697352954185283e-05,8.698293059010292e-05
BP,103/2271,7.93525919528953e-09,,BP,490/18866,BP,103/2271,7.93525919528953e-09,-8.697029480678259e-05,8.698616532517316e-05
BP,92/2271,1.00761914981418e-08,,BP,424/18866,BP,92/2271,1.00761914981418e-08,-8.696815387447973e-05,8.698830625747602e-05
BP,102/2271,1.1424013722468e-08,,BP,487/18866,BP,102/2271,1.1424013722468e-08,-8.69668060522554e-05,8.698965407970034e-05
BP,33/2271,1.29569966311657e-08,,BP,97/18866,BP,33/2271,1.29569966311657e-08,-8.696527306934671e-05,8.699118706260904e-05
BP,33/2271,1.72955517609099e-08,,BP,98/18866,BP,33/2271,1.72955517609099e-08,-8.696093451421697e-05,8.699552561773878e-05
BP,17/2271,2.09039958491344e-08,,BP,32/18866,BP,17/2271,2.09039958491344e-08,-8.695732607012874e-05,8.6999134061827e-05
BP,24/2271,5.16899349185425e-08,,BP,61/18866,BP,24/2271,5.16899349185425e-08,-8.692654013105933e-05,8.702992000089641e-05
BP,37/2271,5.66853882122839e-08,,BP,122/18866,BP,37/2271,5.66853882122839e-08,-8.69215446777656e-05,8.703491545419015e-05
BP,33/2271,6.80703176833127e-08,,BP,103/18866,BP,33/2271,6.80703176833127e-08,-8.691015974829456e-05,8.704630038366119e-05
BP,35/2271,9.15211452172908e-08,,BP,114/18866,BP,35/2271,9.15211452172908e-08,-8.688670892076058e-05,8.706975121119517e-05
BP,39/2271,1.64997304776398e-07,,BP,137/18866,BP,39/2271,1.64997304776398e-07,-8.681323276120148e-05,8.714322737075427e-05
BP,9/2271,2.29068148053209e-07,,BP,11/18866,BP,9/2271,2.29068148053209e-07,-8.674916191792466e-05,8.720729821403109e-05
BP,22/2271,2.75718989931858e-07,,BP,57/18866,BP,22/2271,2.75718989931858e-07,-8.670251107604601e-05,8.725394905590973e-05
BP,13/2271,3.81744686531662e-07,,BP,23/18866,BP,13/2271,3.81744686531662e-07,-8.659648537944621e-05,8.735997475250953e-05
BP,34/2271,4.73557567619877e-07,,BP,116/18866,BP,34/2271,4.73557567619877e-07,-8.6504672498358e-05,8.745178763359775e-05
BP,58/2271,5.36056673454334e-07,,BP,250/18866,BP,58/2271,5.36056673454334e-07,-8.644217339252353e-05,8.751428673943221e-05
BP,14/2271,5.59502930265843e-07,,BP,27/18866,BP,14/2271,5.59502930265843e-07,-8.641872713571203e-05,8.753773299624371e-05
BP,14/2271,5.59502930265843e-07,,BP,27/18866,BP,14/2271,5.59502930265843e-07,-8.641872713571203e-05,8.753773299624371e-05
BP,28/2271,5.92071452961688e-07,,BP,87/18866,BP,28/2271,5.92071452961688e-07,-8.638615861301619e-05,8.757030151893955e-05
BP,38/2271,5.96907562821711e-07,,BP,138/18866,BP,38/2271,5.96907562821711e-07,-8.638132250315616e-05,8.757513762879958e-05
BP,27/2271,7.3737675738159e-07,,BP,83/18866,BP,27/2271,7.3737675738159e-07,-8.624085330859628e-05,8.771560682335946e-05
BP,21/2271,1.26393559390151e-06,,BP,57/18866,BP,21/2271,1.26393559390151e-06,-8.571429447207636e-05,8.824216565987938e-05
BP,67/2271,1.29563714859434e-06,,BP,311/18866,BP,67/2271,1.29563714859434e-06,-8.568259291738354e-05,8.827386721457221e-05
BP,12/2271,1.81436061689441e-06,,BP,22/18866,BP,12/2271,1.81436061689441e-06,-8.516386944908346e-05,8.879259068287228e-05
BP,25/2271,1.95482668673075e-06,,BP,77/18866,BP,25/2271,1.95482668673075e-06,-8.502340337924712e-05,8.893305675270862e-05
BP,45/2271,2.17783508159853e-06,,BP,184/18866,BP,45/2271,2.17783508159853e-06,-8.480039498437934e-05,8.91560651475764e-05
BP,35/2271,2.37430937950806e-06,,BP,129/18866,BP,35/2271,2.37430937950806e-06,-8.460392068646982e-05,8.935253944548593e-05
BP,11/2271,4.45194606264445e-06,,BP,20/18866,BP,11/2271,4.45194606264445e-06,-8.252628400333343e-05,9.143017612862232e-05
