x,y,value,group,label,facet,source,target,weight,lower,upper
Yes,Unknown,121,,Yes,Unknown,Yes,Unknown,121,-8.527719355170035,250.52771935517003
Yes,Unknown,124,,Yes,Unknown,Yes,Unknown,124,-5.527719355170035,253.52771935517003
Yes,Unknown,125,,Yes,Unknown,Yes,Unknown,125,-4.527719355170035,254.52771935517003
Yes,Family,362,,Yes,k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae,Yes,Family,362,232.47228064482997,491.52771935517
No,Species,363,,No,k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis,No,Species,363,233.47228064482997,492.52771935517
Yes,Genus,364,,Yes,k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus,Yes,Genus,364,234.47228064482997,493.52771935517
Yes,Unknown,372,,Yes,Unknown,Yes,Unknown,372,242.47228064482997,501.52771935517
Yes,Family,376,,Yes,k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae,Yes,Family,376,246.47228064482997,505.52771935517
Yes,Family,378,,Yes,k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae,Yes,Family,378,248.47228064482997,507.52771935517
Yes,Family,380,,Yes,k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae,Yes,Family,380,250.47228064482997,509.52771935517
Yes,Family,381,,Yes,k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae,Yes,Family,381,251.47228064482997,510.52771935517
Yes,Family,382,,Yes,k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae,Yes,Family,382,252.47228064482997,511.52771935517
Yes,Family,384,,Yes,k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae,Yes,Family,384,254.47228064482997,513.52771935517
No,Species,385,,No,k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus|s__Methanoculleus_sp_CAG_1088,No,Species,385,255.47228064482997,514.52771935517
Yes,Unknown,568,,Yes,Unknown,Yes,Unknown,568,438.47228064483,697.52771935517
No,Species,690,,No,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_sp_MB1,No,Species,690,560.47228064483,819.52771935517
No,Species,696,,No,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi,No,Species,696,566.47228064483,825.52771935517
Yes,Family,697,,Yes,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,Yes,Family,697,567.47228064483,826.52771935517
