x,y,value,group,label,facet,source,target,weight,lower,upper
0.0,0.0,0.0,Actinobacteria,Actinobacteria,,0.0,0.0,0.0,-1.5874507866387546,1.5874507866387546
1.0,1.0,1.0,Bacteroidetes,Bacteroidetes,,1.0,1.0,1.0,-0.5874507866387546,2.5874507866387546
2.0,2.0,2.0,Chlamydiae,Chlamydiae,,2.0,2.0,2.0,0.4125492133612454,3.5874507866387546
3.0,3.0,3.0,Chloroflexi,Chloroflexi,,3.0,3.0,3.0,1.4125492133612454,4.587450786638755
4.0,4.0,4.0,Firmicutes,Firmicutes,,4.0,4.0,4.0,2.4125492133612454,5.587450786638755
5.0,5.0,5.0,Gemmatimonadetes,Gemmatimonadetes,,5.0,5.0,5.0,3.4125492133612454,6.587450786638755
6.0,6.0,6.0,Nitrospirae,Nitrospirae,,6.0,6.0,6.0,4.412549213361245,7.587450786638755
7.0,7.0,7.0,Planctomycetes,Planctomycetes,,7.0,7.0,7.0,5.412549213361245,8.587450786638755
8.0,8.0,8.0,a-Proteobacteria,a-Proteobacteria,,8.0,8.0,8.0,6.412549213361245,9.587450786638755
9.0,9.0,9.0,b-Proteobacteria,b-Proteobacteria,,9.0,9.0,9.0,7.412549213361245,10.587450786638755
10.0,10.0,10.0,r-Proteobacteria,r-Proteobacteria,,10.0,10.0,10.0,8.412549213361245,11.587450786638755
11.0,11.0,11.0,q-Proteobacteria,q-Proteobacteria,,11.0,11.0,11.0,9.412549213361245,12.587450786638755
12.0,12.0,12.0,Verrucomicrobia,Verrucomicrobia,,12.0,12.0,12.0,10.412549213361245,13.587450786638755
13.0,13.0,13.0,Ascomycota,Ascomycota,,13.0,13.0,13.0,11.412549213361245,14.587450786638755
14.0,14.0,14.0,Basidiomycota,Basidiomycota,,14.0,14.0,14.0,12.412549213361245,15.587450786638755
15.0,15.0,15.0,Mortierellomycota,Mortierellomycota,,15.0,15.0,15.0,13.412549213361245,16.587450786638755
16.0,16.0,16.0,AMF,AMF,,16.0,16.0,16.0,14.412549213361245,17.587450786638755
17.0,17.0,17.0,Plant pathogen,Plant pathogen,,17.0,17.0,17.0,15.412549213361245,18.587450786638755
18.0,18.0,18.0,Saprotroph,Saprotroph,,18.0,18.0,18.0,16.412549213361245,19.587450786638755
19.0,19.0,19.0,Cercozoa,Cercozoa,,19.0,19.0,19.0,17.412549213361245,20.587450786638755
20.0,20.0,20.0,Ciliophora,Ciliophora,,20.0,20.0,20.0,18.412549213361245,21.587450786638755
21.0,21.0,21.0,Conosa,Conosa,,21.0,21.0,21.0,19.412549213361245,22.587450786638755
22.0,22.0,22.0,Lobosa,Lobosa,,22.0,22.0,22.0,20.412549213361245,23.587450786638755
23.0,23.0,23.0,Ochrophyta,Ochrophyta,,23.0,23.0,23.0,21.412549213361245,24.587450786638755
24.0,24.0,24.0,Consumer,Consumer,,24.0,24.0,24.0,22.412549213361245,25.587450786638755
25.0,25.0,25.0,Phototroph,Phototroph,,25.0,25.0,25.0,23.412549213361245,26.587450786638755
26.0,26.0,26.0,Parasite,Parasite,,26.0,26.0,26.0,24.412549213361245,27.587450786638755
