x,y,value,group,label,facet,source,target,weight,lower,upper
Mutated Gene A,Mutated Gene B,,,Mutated Gene A,Correlation Type,Mutated Gene A,Mutated Gene B,1.0,-2.2285439214905582,2.2285439214905582
NOTCH1,FBXW7,132.0,,NOTCH1,Co-occurrence,NOTCH1,FBXW7,132.0,129.77145607850943,134.22854392149057
NOTCH1,NOTCH3,18.0,,NOTCH1,Not significant,NOTCH1,NOTCH3,18.0,15.771456078509441,20.22854392149056
NOTCH1,PHF6,98.0,,NOTCH1,Co-occurrence,NOTCH1,PHF6,98.0,95.77145607850944,100.22854392149056
NOTCH1,SMARCA4,8.0,,NOTCH1,Not significant,NOTCH1,SMARCA4,8.0,5.771456078509441,10.228543921490559
NOTCH1,USP7,47.0,,NOTCH1,Not significant,NOTCH1,USP7,47.0,44.771456078509445,49.228543921490555
NOTCH1,USP9X,7.0,,NOTCH1,Not significant,NOTCH1,USP9X,7.0,4.771456078509441,9.228543921490559
NOTCH1,KDM6A,24.0,,NOTCH1,Not significant,NOTCH1,KDM6A,24.0,21.77145607850944,26.22854392149056
NOTCH1,ASXL1,15.0,,NOTCH1,Not significant,NOTCH1,ASXL1,15.0,12.771456078509441,17.22854392149056
NOTCH1,CHD4,12.0,,NOTCH1,Not significant,NOTCH1,CHD4,12.0,9.771456078509441,14.228543921490559
NOTCH1,NCOR2,8.0,,NOTCH1,Not significant,NOTCH1,NCOR2,8.0,5.771456078509441,10.228543921490559
NOTCH1,EZH2,26.0,,NOTCH1,Not significant,NOTCH1,EZH2,26.0,23.77145607850944,28.22854392149056
NOTCH1,SETD2,11.0,,NOTCH1,Exclusivity,NOTCH1,SETD2,11.0,8.771456078509441,13.228543921490559
NOTCH1,CREBBP,11.0,,NOTCH1,Not significant,NOTCH1,CREBBP,11.0,8.771456078509441,13.228543921490559
NOTCH1,SETD1B,8.0,,NOTCH1,Not significant,NOTCH1,SETD1B,8.0,5.771456078509441,10.228543921490559
NOTCH1,EP300,9.0,,NOTCH1,Not significant,NOTCH1,EP300,9.0,6.771456078509441,11.228543921490559
NOTCH1,SUZ12,23.0,,NOTCH1,Not significant,NOTCH1,SUZ12,23.0,20.77145607850944,25.22854392149056
NOTCH1,EED,6.0,,NOTCH1,Not significant,NOTCH1,EED,6.0,3.7714560785094418,8.228543921490559
NOTCH1,DNMT3A,24.0,,NOTCH1,Not significant,NOTCH1,DNMT3A,24.0,21.77145607850944,26.22854392149056
NOTCH1,IDH2,15.0,,NOTCH1,Not significant,NOTCH1,IDH2,15.0,12.771456078509441,17.22854392149056
NOTCH1,KMT2C,29.0,,NOTCH1,Not significant,NOTCH1,KMT2C,29.0,26.77145607850944,31.22854392149056
NOTCH1,KMT2D,15.0,,NOTCH1,Not significant,NOTCH1,KMT2D,15.0,12.771456078509441,17.22854392149056
NOTCH1,KMT2A,16.0,,NOTCH1,Not significant,NOTCH1,KMT2A,16.0,13.771456078509441,18.22854392149056
NOTCH1,KMT2E,7.0,,NOTCH1,Not significant,NOTCH1,KMT2E,7.0,4.771456078509441,9.228543921490559
