x,y,value,group,label,facet,source,target,weight,lower,upper
hNeu_02_S100A12,c2,0.87,,hNeu_02_S100A12,,hNeu_02_S100A12,c2,0.87,0.8188952212342289,0.9211047787657711
hNeu_02_S100A12,c9,0.13,,hNeu_02_S100A12,,hNeu_02_S100A12,c9,0.13,0.07889522123422887,0.18110477876577113
hNeu_03_ISG15,c2,0.71,,hNeu_03_ISG15,,hNeu_03_ISG15,c2,0.71,0.6588952212342288,0.7611047787657711
hNeu_04_TXNIP,c2,0.81,,hNeu_04_TXNIP,,hNeu_04_TXNIP,c2,0.81,0.7588952212342289,0.8611047787657712
hNeu_05_ELL2,c3,0.76,,hNeu_05_ELL2,,hNeu_05_ELL2,c3,0.76,0.7088952212342289,0.8111047787657711
hNeu_05_ELL2,c10,0.2,,hNeu_05_ELL2,,hNeu_05_ELL2,c10,0.2,0.14889522123422888,0.25110477876577114
hNeu_05_ELL2,c11,0.05,,hNeu_05_ELL2,,hNeu_05_ELL2,c11,0.05,-0.0011047787657711278,0.10110477876577113
hNeu_06_PTGS2,c3,0.58,,hNeu_06_PTGS2,,hNeu_06_PTGS2,c3,0.58,0.5288952212342288,0.6311047787657711
hNeu_07_APOA2,c4,0.73,,hNeu_07_APOA2,,hNeu_07_APOA2,c4,0.73,0.6788952212342289,0.7811047787657711
hNeu_08_CD74,c5,0.44,,hNeu_08_CD74,,hNeu_08_CD74,c5,0.44,0.38889522123422887,0.49110477876577113
hNeu_09_IFIT1,c6,0.47,,hNeu_09_IFIT1,,hNeu_09_IFIT1,c6,0.47,0.41889522123422884,0.5211047787657711
hNeu_10_SPP1,c7,0.7,,hNeu_10_SPP1,,hNeu_10_SPP1,c7,0.7,0.6488952212342288,0.7511047787657711
hNeu_11_CCL4,c8,0.51,,hNeu_11_CCL4,,hNeu_11_CCL4,c8,0.51,0.4588952212342289,0.5611047787657711
mNeu_01_Ngp,c2,0.49,,mNeu_01_Ngp,,mNeu_01_Ngp,c2,0.49,0.43889522123422886,0.5411047787657711
mNeu_02_Ltf,c2,0.5,,mNeu_02_Ltf,,mNeu_02_Ltf,c2,0.5,0.44889522123422887,0.5511047787657711
mNeu_02_Ltf,c9,0.1,,mNeu_02_Ltf,,mNeu_02_Ltf,c9,0.1,0.048895221234228875,0.15110477876577114
mNeu_03_Pabpc1,c2,0.3,,mNeu_03_Pabpc1,,mNeu_03_Pabpc1,c2,0.3,0.24889522123422886,0.3511047787657711
mNeu_03_Pabpc1,c5,0.1,,mNeu_03_Pabpc1,,mNeu_03_Pabpc1,c5,0.1,0.048895221234228875,0.15110477876577114
mNeu_04_lfit3,c2,0.61,,mNeu_04_lfit3,,mNeu_04_lfit3,c2,0.61,0.5588952212342289,0.6611047787657711
mNeu_05_Gm2a,c2,0.6,,mNeu_05_Gm2a,,mNeu_05_Gm2a,c2,0.6,0.5488952212342288,0.6511047787657711
mNeu_06_Marco,c3,0.71,,mNeu_06_Marco,,mNeu_06_Marco,c3,0.71,0.6588952212342288,0.7611047787657711
mNeu_06_Marco,c11,0.1,,mNeu_06_Marco,,mNeu_06_Marco,c11,0.1,0.048895221234228875,0.15110477876577114
mNeu_07_Actg1,c3,0.46,,mNeu_07_Actg1,,mNeu_07_Actg1,c3,0.46,0.4088952212342289,0.5111047787657712
mNeu_08_Mmp8,c1,0.96,,mNeu_08_Mmp8,,mNeu_08_Mmp8,c1,0.96,0.9088952212342288,1.011104778765771
mNeu_09_Apoa2,c4,0.73,,mNeu_09_Apoa2,,mNeu_09_Apoa2,c4,0.73,0.6788952212342289,0.7811047787657711
mNeu_10_lfit1,c6,0.55,,mNeu_10_lfit1,,mNeu_10_lfit1,c6,0.55,0.4988952212342289,0.6011047787657712
mNeu_11_Spp1,c7,0.68,,mNeu_11_Spp1,,mNeu_11_Spp1,c7,0.68,0.6288952212342289,0.7311047787657712
mNeu_12_Ccl4,c8,0.56,,mNeu_12_Ccl4,,mNeu_12_Ccl4,c8,0.56,0.5088952212342289,0.6111047787657712
