x,y,value,group,label,facet,source,target,weight,lower,upper
nan,pr = 0.6,,,nan,pr = 0.4,nan,pr = 0.6,1.0,-16338.219535901599,16338.219535901599
overlapping with input genes (#),170,4914.0,,overlapping with input genes (#),170,overlapping with input genes (#),170,4914.0,-11424.219535901599,21252.219535901597
non-overlapping with input genes / novel genes (#),12,4223.0,,non-overlapping with input genes / novel genes (#),38,non-overlapping with input genes / novel genes (#),12,4223.0,-12115.219535901599,20561.219535901597
total predicted genes (#),182,6613.0,,total predicted genes (#),208,total predicted genes (#),182,6613.0,-9725.219535901599,22951.219535901597
non-overlapping gene percent,0.06593406593406594,3725.0,,non-overlapping gene percent,0.18269230769230768,non-overlapping gene percent,0.06593406593406594,3725.0,-12613.219535901599,20063.219535901597
nan,nan,6872.0,,nan,nan,nan,nan,6872.0,-9466.219535901599,23210.219535901597
nan,nan,375791.0,,nan,nan,nan,nan,375791.0,359452.7804640984,392129.2195359016
nan,nan,1994.0,,nan,nan,nan,nan,1994.0,-14344.219535901599,18332.219535901597
nan,nan,4899.0,,nan,nan,nan,nan,4899.0,-11439.219535901599,21237.219535901597
nan,nan,4609.0,,nan,nan,nan,nan,4609.0,-11729.219535901599,20947.219535901597
nan,nan,8452.0,,nan,nan,nan,nan,8452.0,-7886.219535901599,24790.219535901597
nan,nan,10482.0,,nan,nan,nan,nan,10482.0,-5856.219535901599,26820.219535901597
nan,nan,3172.0,,nan,nan,nan,nan,3172.0,-13166.219535901599,19510.219535901597
nan,nan,7514.0,,nan,nan,nan,nan,7514.0,-8824.219535901599,23852.219535901597
nan,nan,7341.0,,nan,nan,nan,nan,7341.0,-8997.219535901599,23679.219535901597
nan,nan,4738.0,,nan,nan,nan,nan,4738.0,-11600.219535901599,21076.219535901597
nan,nan,351.0,,nan,nan,nan,nan,351.0,-15987.219535901599,16689.219535901597
nan,nan,1956.0,,nan,nan,nan,nan,1956.0,-14382.219535901599,18294.219535901597
nan,nan,4149.0,,nan,nan,nan,nan,4149.0,-12189.219535901599,20487.219535901597
nan,nan,200728.0,,nan,nan,nan,nan,200728.0,184389.7804640984,217066.2195359016
nan,nan,386682.0,,nan,nan,nan,nan,386682.0,370343.7804640984,403020.2195359016
nan,nan,7157.0,,nan,nan,nan,nan,7157.0,-9181.219535901599,23495.219535901597
nan,nan,4343.0,,nan,nan,nan,nan,4343.0,-11995.219535901599,20681.219535901597
nan,nan,125115.0,,nan,nan,nan,nan,125115.0,108776.7804640984,141453.2195359016
nan,nan,2099.0,,nan,nan,nan,nan,2099.0,-14239.219535901599,18437.219535901597
nan,nan,1017.0,,nan,nan,nan,nan,1017.0,-15321.219535901599,17355.219535901597
nan,nan,7412.0,,nan,nan,nan,nan,7412.0,-8926.219535901599,23750.219535901597
nan,nan,6612.0,,nan,nan,nan,nan,6612.0,-9726.219535901599,22950.219535901597
nan,nan,2885.0,,nan,nan,nan,nan,2885.0,-13453.219535901599,19223.219535901597
nan,nan,2335.0,,nan,nan,nan,nan,2335.0,-14003.219535901599,18673.219535901597
nan,nan,10537.0,,nan,nan,nan,nan,10537.0,-5801.219535901599,26875.219535901597
nan,nan,26270.0,,nan,nan,nan,nan,26270.0,9931.780464098401,42608.2195359016
nan,nan,4171.0,,nan,nan,nan,nan,4171.0,-12167.219535901599,20509.219535901597
nan,nan,386681.0,,nan,nan,nan,nan,386681.0,370342.7804640984,403019.2195359016
nan,nan,4193.0,,nan,nan,nan,nan,4193.0,-12145.219535901599,20531.219535901597
nan,nan,9820.0,,nan,nan,nan,nan,9820.0,-6518.219535901599,26158.219535901597
