x,y,value,group,label,facet,source,target,weight,lower,upper
,,,,item_1,,nan,nan,1.0,-0.4753467051618347,0.4753467051618347
1.0,0.202931054,1.15843233,,item_2,,1.0,0.202931054,1.15843233,0.6830856248381652,1.6337790351618346
2.0,0.225368853,2.71580132,,item_3,,2.0,0.225368853,2.71580132,2.2404546148381654,3.191148025161835
3.0,0.810335784,0.357103858,,item_4,,3.0,0.810335784,0.357103858,-0.1182428471618347,0.8324505631618346
4.0,1.153754022,1.708862089,,item_5,,4.0,1.153754022,1.708862089,1.2335153838381652,2.1842087941618344
5.0,0.306293866,13.12687995,,item_6,,5.0,0.306293866,13.12687995,12.651533244838165,13.602226655161834
6.0,0.256578683,0.859885316,,item_7,,6.0,0.256578683,0.859885316,0.38453861083816526,1.3352320211618347
7.0,0.077666432,1.443630295,,item_8,,7.0,0.077666432,1.443630295,0.9682835898381652,1.9189770001618347
8.0,2.174422211,0.789439911,,item_9,,8.0,2.174422211,0.789439911,0.3140932058381653,1.2647866161618346
9.0,0.209597388,0.010878757,,item_10,,9.0,0.209597388,0.010878757,-0.4644679481618347,0.4862254621618347
10.0,0.47505074,8.177102909,,item_11,,10.0,0.47505074,8.177102909,7.7017562038381655,8.652449614161835
11.0,0.085534467,0.63742246,,item_12,,11.0,0.085534467,0.63742246,0.16207575483816533,1.1127691651618348
12.0,0.303584114,0.467010856,,item_13,,12.0,0.303584114,0.467010856,-0.008335849161834719,0.9423575611618347
13.0,1.701083013,0.245051119,,item_14,,13.0,1.701083013,0.245051119,-0.23029558616183468,0.7203978241618347
14.0,0.240430356,0.852031999,,item_15,,14.0,0.240430356,0.852031999,0.37668529383816535,1.3273787041618348
15.0,0.920103172,6.804694217,,item_16,,15.0,0.920103172,6.804694217,6.329347511838165,7.2800409221618345
16.0,0.060127775,0.991717846,,item_17,,16.0,0.060127775,0.991717846,0.5163711408381653,1.4670645511618348
17.0,0.121257464,0.84999105,,item_18,,17.0,0.121257464,0.84999105,0.3746443448381653,1.3253377551618346
