x,y,value,group,label,facet,source,target,weight,lower,upper
x_1,5.12,5.12,,item_1,,x_1,5.12,5.12,4.813156552425241,5.426843447574759
x_2,5.12,5.12,,item_2,,x_2,5.12,5.12,4.813156552425241,5.426843447574759
x_3,5.12,5.12,,item_3,,x_3,5.12,5.12,4.813156552425241,5.426843447574759
x_4,5.67,5.67,,item_4,,x_4,5.67,5.67,5.363156552425241,5.976843447574759
x_5,6.38,6.38,,item_5,,x_5,6.38,6.38,6.073156552425241,6.686843447574759
x_6,7.84,7.84,,item_6,,x_6,7.84,7.84,7.533156552425241,8.146843447574758
x_7,5.12,5.12,,item_7,,x_7,5.12,5.12,4.813156552425241,5.426843447574759
x_8,7.04,7.04,,item_8,,x_8,7.04,7.04,6.733156552425241,7.346843447574759
x_9,7.73,7.73,,item_9,,x_9,7.73,7.73,7.423156552425241,8.036843447574759
x_10,5.12,5.12,,item_10,,x_10,5.12,5.12,4.813156552425241,5.426843447574759
x_11,5.67,5.67,,item_11,,x_11,5.67,5.67,5.363156552425241,5.976843447574759
x_12,8.42,8.42,,item_12,,x_12,8.42,8.42,8.113156552425242,8.726843447574758
x_13,5.12,5.12,,item_13,,x_13,5.12,5.12,4.813156552425241,5.426843447574759
x_14,7.62,7.62,,item_14,,x_14,7.62,7.62,7.313156552425241,7.926843447574759
x_15,5.12,5.12,,item_15,,x_15,5.12,5.12,4.813156552425241,5.426843447574759
x_16,7.62,7.62,,item_16,,x_16,7.62,7.62,7.313156552425241,7.926843447574759
x_17,9.11,9.11,,item_17,,x_17,9.11,9.11,8.803156552425241,9.416843447574758
x_18,6.64,6.64,,item_18,,x_18,6.64,6.64,6.3331565524252404,6.946843447574759
x_19,5.12,5.12,,item_19,,x_19,5.12,5.12,4.813156552425241,5.426843447574759
x_20,7.84,7.84,,item_20,,x_20,7.84,7.84,7.533156552425241,8.146843447574758
x_21,8.35,8.35,,item_21,,x_21,8.35,8.35,8.043156552425241,8.656843447574758
x_22,7.21,7.21,,item_22,,x_22,7.21,7.21,6.903156552425241,7.516843447574759
x_23,6.38,6.38,,item_23,,x_23,6.38,6.38,6.073156552425241,6.686843447574759
x_24,5.12,5.12,,item_24,,x_24,5.12,5.12,4.813156552425241,5.426843447574759
x_25,7.21,7.21,,item_25,,x_25,7.21,7.21,6.903156552425241,7.516843447574759
x_26,6.07,6.07,,item_26,,x_26,6.07,6.07,5.763156552425241,6.3768434475747595
x_27,6.38,6.38,,item_27,,x_27,6.38,6.38,6.073156552425241,6.686843447574759
x_28,5.12,5.12,,item_28,,x_28,5.12,5.12,4.813156552425241,5.426843447574759
x_29,7.5,7.5,,item_29,,x_29,7.5,7.5,7.193156552425241,7.806843447574759
x_30,5.12,5.12,,item_30,,x_30,5.12,5.12,4.813156552425241,5.426843447574759
x_31,5.12,5.12,,item_31,,x_31,5.12,5.12,4.813156552425241,5.426843447574759
x_32,8.12,8.12,,item_32,,x_32,8.12,8.12,7.81315655242524,8.426843447574758
x_33,5.12,5.12,,item_33,,x_33,5.12,5.12,4.813156552425241,5.426843447574759
x_34,10.65,10.65,,item_34,,x_34,10.65,10.65,10.343156552425242,10.956843447574759
x_35,9.34,9.34,,item_35,,x_35,9.34,9.34,9.033156552425242,9.646843447574758
x_36,7.5,7.5,,item_36,,x_36,7.5,7.5,7.193156552425241,7.806843447574759
x_37,10.94,10.94,,item_37,,x_37,10.94,10.94,10.633156552425241,11.246843447574758
x_38,5.12,5.12,,item_38,,x_38,5.12,5.12,4.813156552425241,5.426843447574759
