x,y,value,group,label,facet,source,target,weight,lower,upper
139.6,130.7,130.7,,item_1,,139.6,130.7,130.7,50.09692919483331,211.30307080516667
148.8,180.4,180.4,,item_2,,148.8,180.4,180.4,99.79692919483333,261.00307080516666
6.8,3.7,3.7,,item_3,,6.8,3.7,3.7,-76.90307080516668,84.30307080516668
16.6,1.8,1.8,,item_4,,16.6,1.8,1.8,-78.80307080516668,82.40307080516668
31.3,25.3,25.3,,item_5,,31.3,25.3,25.3,-55.30307080516668,105.90307080516668
37.8,41.8,41.8,,item_6,,37.8,41.8,41.8,-38.80307080516668,122.40307080516668
63.3,38.5,38.5,,item_7,,63.3,38.5,38.5,-42.10307080516668,119.10307080516668
12.4,6.3,6.3,,item_8,,12.4,6.3,6.3,-74.30307080516668,86.90307080516668
11.9,13.1,13.1,,item_9,,11.9,13.1,13.1,-67.50307080516669,93.70307080516667
0.3,0.2,0.2,,item_10,,0.3,0.2,0.2,-80.40307080516668,80.80307080516668
8.4,2.0,2.0,,item_11,,8.4,2.0,2.0,-78.60307080516668,82.60307080516668
1.2,0.1,0.1,,item_12,,1.2,0.1,0.1,-80.50307080516669,80.70307080516667
20.6,20.9,20.9,,item_13,,20.6,20.9,20.9,-59.70307080516668,101.50307080516669
20.1,26.5,26.5,,item_14,,20.1,26.5,26.5,-54.10307080516668,107.10307080516668
1.0,0.2,0.2,,item_15,,1.0,0.2,0.2,-80.40307080516668,80.80307080516668
9.1,47.2,47.2,,item_16,,9.1,47.2,47.2,-33.40307080516668,127.80307080516668
11.1,6.5,6.5,,item_17,,11.1,6.5,6.5,-74.10307080516668,87.10307080516668
20.0,18.0,18.0,,item_18,,20.0,18.0,18.0,-62.60307080516668,98.60307080516668
182.3,157.6,157.6,,item_19,,182.3,157.6,157.6,76.99692919483331,238.20307080516667
8.6,17.3,17.3,,item_20,,8.6,17.3,17.3,-63.30307080516668,97.90307080516668
29.1,6.3,6.3,,item_21,,29.1,6.3,6.3,-74.30307080516668,86.90307080516668
12.5,11.3,11.3,,item_22,,12.5,11.3,11.3,-69.30307080516668,91.90307080516668
0.4,0.6,0.6,,item_23,,0.4,0.6,0.6,-80.00307080516669,81.20307080516667
0.0,0.0,0.0,,item_24,,0.0,0.0,0.0,-80.60307080516668,80.60307080516668
0.2,0.0,0.0,,item_25,,0.2,0.0,0.0,-80.60307080516668,80.60307080516668
50.7,45.8,45.8,,item_26,,50.7,45.8,45.8,-34.80307080516668,126.40307080516668
1745.8,836.5,836.5,,item_27,,1745.8,836.5,836.5,755.8969291948333,917.1030708051667
101.3,157.7,157.7,,item_28,,101.3,157.7,157.7,77.09692919483331,238.30307080516667
22.8,11.8,11.8,,item_29,,22.8,11.8,11.8,-68.80307080516668,92.40307080516668
24.8,18.0,18.0,,item_30,,24.8,18.0,18.0,-62.60307080516668,98.60307080516668
81.7,71.3,71.3,,item_31,,81.7,71.3,71.3,-9.303070805166683,151.9030708051667
9.4,4.0,4.0,,item_32,,9.4,4.0,4.0,-76.60307080516668,84.60307080516668
2.3,0.2,0.2,,item_33,,2.3,0.2,0.2,-80.40307080516668,80.80307080516668
17.8,15.9,15.9,,item_34,,17.8,15.9,15.9,-64.70307080516667,96.50307080516669
2.1,0.2,0.2,,item_35,,2.1,0.2,0.2,-80.40307080516668,80.80307080516668
67.4,59.2,59.2,,item_36,,67.4,59.2,59.2,-21.403070805166678,139.80307080516667
172.7,115.1,115.1,,item_37,,172.7,115.1,115.1,34.496929194833314,195.70307080516667
53.5,148.3,148.3,,item_38,,53.5,148.3,148.3,67.69692919483333,228.9030708051667
160.0,97.0,97.0,,item_39,,160.0,97.0,97.0,16.39692919483332,177.60307080516668
44.9,112.0,112.0,,item_40,,44.9,112.0,112.0,31.39692919483332,192.60307080516668
30.0,41.7,41.7,,item_41,,30.0,41.7,41.7,-38.90307080516668,122.30307080516668
76.6,73.2,73.2,,item_42,,76.6,73.2,73.2,-7.403070805166678,153.80307080516667
15.6,14.9,14.9,,item_43,,15.6,14.9,14.9,-65.70307080516667,95.50307080516669
34.3,13.3,13.3,,item_44,,34.3,13.3,13.3,-67.30307080516668,93.90307080516668
200.7,190.7,190.7,,item_45,,200.7,190.7,190.7,110.09692919483331,271.30307080516667
27.6,28.2,28.2,,item_46,,27.6,28.2,28.2,-52.40307080516668,108.80307080516668
85.9,120.1,120.1,,item_47,,85.9,120.1,120.1,39.496929194833314,200.70307080516667
0.6,0.6,0.6,,item_48,,0.6,0.6,0.6,-80.00307080516669,81.20307080516667
9.0,3.0,3.0,,item_49,,9.0,3.0,3.0,-77.60307080516668,83.60307080516668
113.7,151.3,151.3,,item_50,,113.7,151.3,151.3,70.69692919483333,231.9030708051667
165.9,160.7,160.7,,item_51,,165.9,160.7,160.7,80.09692919483331,241.30307080516667
56.8,35.0,35.0,,item_52,,56.8,35.0,35.0,-45.60307080516668,115.60307080516668
27.1,18.0,18.0,,item_53,,27.1,18.0,18.0,-62.60307080516668,98.60307080516668
15.0,15.7,15.7,,item_54,,15.0,15.7,15.7,-64.90307080516668,96.30307080516668
7.3,7.5,7.5,,item_55,,7.3,7.5,7.5,-73.10307080516668,88.10307080516668
121.9,180.1,180.1,,item_56,,121.9,180.1,180.1,99.49692919483331,260.7030708051667
2.9,0.7,0.7,,item_57,,2.9,0.7,0.7,-79.90307080516668,81.30307080516668
0.0,0.0,0.0,,item_58,,0.0,0.0,0.0,-80.60307080516668,80.60307080516668
28.2,20.0,20.0,,item_59,,28.2,20.0,20.0,-60.60307080516668,100.60307080516668
4.4,10.0,10.0,,item_60,,4.4,10.0,10.0,-70.60307080516668,90.60307080516668
158.9,65.5,65.5,,item_61,,158.9,65.5,65.5,-15.10307080516668,146.10307080516668
0.8,1.7,1.7,,item_62,,0.8,1.7,1.7,-78.90307080516668,82.30307080516668
0.2,0.0,0.0,,item_63,,0.2,0.0,0.0,-80.60307080516668,80.60307080516668
