x,y,value,group,label,facet,source,target,weight,lower,upper
item_01,A,0,,item_01,,item_01,A,0,-2.1071307505705477,2.1071307505705477
item_02,B,1,,item_02,,item_02,B,1,-1.1071307505705477,3.1071307505705477
item_03,C,2,,item_03,,item_03,C,2,-0.10713075057054766,4.107130750570548
item_04,A,3,,item_04,,item_04,A,3,0.8928692494294523,5.107130750570548
item_05,B,4,,item_05,,item_05,B,4,1.8928692494294523,6.107130750570548
item_06,C,5,,item_06,,item_06,C,5,2.8928692494294523,7.107130750570548
item_07,A,6,,item_07,,item_07,A,6,3.8928692494294523,8.107130750570548
item_08,B,7,,item_08,,item_08,B,7,4.892869249429452,9.107130750570548
item_09,C,8,,item_09,,item_09,C,8,5.892869249429452,10.107130750570548
item_10,A,9,,item_10,,item_10,A,9,6.892869249429452,11.107130750570548
item_11,B,10,,item_11,,item_11,B,10,7.892869249429452,12.107130750570548
item_12,C,11,,item_12,,item_12,C,11,8.892869249429452,13.107130750570548
item_13,A,12,,item_13,,item_13,A,12,9.892869249429452,14.107130750570548
item_14,B,13,,item_14,,item_14,B,13,10.892869249429452,15.107130750570548
item_15,C,14,,item_15,,item_15,C,14,11.892869249429452,16.107130750570548
item_16,A,15,,item_16,,item_16,A,15,12.892869249429452,17.107130750570548
item_17,B,16,,item_17,,item_17,B,16,13.892869249429452,18.107130750570548
item_18,C,17,,item_18,,item_18,C,17,14.892869249429452,19.107130750570548
item_19,A,18,,item_19,,item_19,A,18,15.892869249429452,20.107130750570548
item_20,B,19,,item_20,,item_20,B,19,16.892869249429452,21.107130750570548
item_21,C,20,,item_21,,item_21,C,20,17.892869249429452,22.107130750570548
item_22,A,21,,item_22,,item_22,A,21,18.892869249429452,23.107130750570548
item_23,B,22,,item_23,,item_23,B,22,19.892869249429452,24.107130750570548
item_24,C,23,,item_24,,item_24,C,23,20.892869249429452,25.107130750570548
item_25,A,24,,item_25,,item_25,A,24,21.892869249429452,26.107130750570548
item_26,B,25,,item_26,,item_26,B,25,22.892869249429452,27.107130750570548
item_27,C,26,,item_27,,item_27,C,26,23.892869249429452,28.107130750570548
item_28,A,27,,item_28,,item_28,A,27,24.892869249429452,29.107130750570548
item_29,B,28,,item_29,,item_29,B,28,25.892869249429452,30.107130750570548
item_30,C,29,,item_30,,item_30,C,29,26.892869249429452,31.107130750570548
item_31,A,30,,item_31,,item_31,A,30,27.892869249429452,32.10713075057055
item_32,B,31,,item_32,,item_32,B,31,28.892869249429452,33.10713075057055
item_33,C,32,,item_33,,item_33,C,32,29.892869249429452,34.10713075057055
item_34,A,33,,item_34,,item_34,A,33,30.892869249429452,35.10713075057055
item_35,B,34,,item_35,,item_35,B,34,31.892869249429452,36.10713075057055
item_36,C,35,,item_36,,item_36,C,35,32.89286924942945,37.10713075057055
