x,y,value,group,label,facet,source,target,weight,lower,upper
0.13,0.77,0.77,FPG,FPG,,0.13,0.77,0.77,0.5744502194665853,0.9655497805334148
0.38,0.82,0.82,FPG,FPG,,0.38,0.82,0.82,0.6244502194665852,1.0155497805334146
0.63,0.86,0.86,FPG,FPG,,0.63,0.86,0.86,0.6644502194665852,1.0555497805334146
0.88,0.91,0.91,FPG,FPG,,0.88,0.91,0.91,0.7144502194665853,1.1055497805334147
0.13,2.49,2.49,GSP,GSP,,0.13,2.49,2.49,2.2944502194665857,2.6855497805334148
0.38,2.53,2.53,GSP,GSP,,0.38,2.53,2.53,2.3344502194665853,2.7255497805334143
0.63,2.57,2.57,GSP,GSP,,0.63,2.57,2.57,2.3744502194665853,2.7655497805334144
0.88,2.61,2.61,GSP,GSP,,0.88,2.61,2.61,2.4144502194665853,2.8055497805334144
0.13,0.44,0.44,FINS,FINS,,0.13,0.44,0.44,0.24445021946658527,0.6355497805334147
0.38,0.49,0.49,FINS,FINS,,0.38,0.49,0.49,0.29445021946658523,0.6855497805334148
0.63,0.55,0.55,FINS,FINS,,0.63,0.55,0.55,0.3544502194665853,0.7455497805334148
0.88,0.61,0.61,FINS,FINS,,0.88,0.61,0.61,0.4144502194665852,0.8055497805334147
0.13,-0.13,-0.13,HOMA-IR,HOMA-IR,,0.13,-0.13,-0.13,-0.32554978053341477,0.06554978053341473
0.38,-0.01,-0.01,HOMA-IR,HOMA-IR,,0.38,-0.01,-0.01,-0.20554978053341474,0.18554978053341473
0.63,0.11,0.11,HOMA-IR,HOMA-IR,,0.63,0.11,0.11,-0.08554978053341473,0.30554978053341475
0.88,0.23,0.23,HOMA-IR,HOMA-IR,,0.88,0.23,0.23,0.034450219466585275,0.42554978053341475
