x,y,value,group,label,facet,source,target,weight,lower,upper
ENSMUST00000001162,1.31,1.31,,ENSMUST00000001162,,ENSMUST00000001162,1.31,1.31,-6.833574099319728,9.453574099319729
ENSMUST00000015948,2.95,2.95,,ENSMUST00000015948,,ENSMUST00000015948,2.95,2.95,-5.193574099319728,11.093574099319728
ENSMUST00000021378,0.0,0.0,,ENSMUST00000021378,,ENSMUST00000021378,0.0,0.0,-8.143574099319729,8.143574099319729
ENSMUST00000022049,0.0,0.0,,ENSMUST00000022049,,ENSMUST00000022049,0.0,0.0,-8.143574099319729,8.143574099319729
ENSMUST00000026843,178.52,178.52,,ENSMUST00000026843,,ENSMUST00000026843,178.52,178.52,170.3764259006803,186.66357409931973
ENSMUST00000028621,0.19,0.19,,ENSMUST00000028621,,ENSMUST00000028621,0.19,0.19,-7.953574099319728,8.333574099319728
ENSMUST00000029664,0.43,0.43,,ENSMUST00000029664,,ENSMUST00000029664,0.43,0.43,-7.713574099319729,8.573574099319728
ENSMUST00000030347,0.54,0.54,,ENSMUST00000030347,,ENSMUST00000030347,0.54,0.54,-7.6035740993197285,8.683574099319728
ENSMUST00000031274,0.0,0.0,,ENSMUST00000031274,,ENSMUST00000031274,0.0,0.0,-8.143574099319729,8.143574099319729
ENSMUST00000031402,8.35,8.35,,ENSMUST00000031402,,ENSMUST00000031402,8.35,8.35,0.2064259006802711,16.49357409931973
ENSMUST00000031839,0.0,0.0,,ENSMUST00000031839,,ENSMUST00000031839,0.0,0.0,-8.143574099319729,8.143574099319729
ENSMUST00000031975,1.65,1.65,,ENSMUST00000031975,,ENSMUST00000031975,1.65,1.65,-6.493574099319728,9.793574099319729
ENSMUST00000033651,1.47,1.47,,ENSMUST00000033651,,ENSMUST00000033651,1.47,1.47,-6.673574099319729,9.61357409931973
ENSMUST00000034299,5.54,5.54,,ENSMUST00000034299,,ENSMUST00000034299,5.54,5.54,-2.6035740993197285,13.683574099319728
ENSMUST00000035513,0.0,0.0,,ENSMUST00000035513,,ENSMUST00000035513,0.0,0.0,-8.143574099319729,8.143574099319729
ENSMUST00000038121,0.48,0.48,,ENSMUST00000038121,,ENSMUST00000038121,0.48,0.48,-7.663574099319728,8.623574099319729
ENSMUST00000039080,0.14,0.14,,ENSMUST00000039080,,ENSMUST00000039080,0.14,0.14,-8.003574099319728,8.283574099319729
ENSMUST00000040309,0.0,0.0,,ENSMUST00000040309,,ENSMUST00000040309,0.0,0.0,-8.143574099319729,8.143574099319729
ENSMUST00000043658,0.21,0.21,,ENSMUST00000043658,,ENSMUST00000043658,0.21,0.21,-7.933574099319729,8.35357409931973
