x,y,value,group,label,facet,source,target,weight,lower,upper
139.6,130.7,130.7,,item_1,,139.6,130.7,130.7,28.027039630783392,233.37296036921657
1.2,3.5,3.5,,item_2,,1.2,3.5,3.5,-99.1729603692166,106.1729603692166
148.8,180.4,180.4,,item_3,,148.8,180.4,180.4,77.72703963078341,283.0729603692166
11.0,11.0,11.0,,item_4,,11.0,11.0,11.0,-91.6729603692166,113.6729603692166
6.8,3.7,3.7,,item_5,,6.8,3.7,3.7,-98.9729603692166,106.3729603692166
6.3,1.7,1.7,,item_6,,6.3,1.7,1.7,-100.9729603692166,104.3729603692166
16.6,1.8,1.8,,item_7,,16.6,1.8,1.8,-100.8729603692166,104.4729603692166
124.8,132.6,132.6,,item_8,,124.8,132.6,132.6,29.927039630783398,235.2729603692166
31.3,25.3,25.3,,item_9,,31.3,25.3,25.3,-77.3729603692166,127.9729603692166
37.8,41.8,41.8,,item_10,,37.8,41.8,41.8,-60.8729603692166,144.4729603692166
5.0,5.0,5.0,,item_11,,5.0,5.0,5.0,-97.6729603692166,107.6729603692166
16.3,10.8,10.8,,item_12,,16.3,10.8,10.8,-91.8729603692166,113.4729603692166
63.3,38.5,38.5,,item_13,,63.3,38.5,38.5,-64.1729603692166,141.17296036921658
24.3,24.6,24.6,,item_14,,24.3,24.6,24.6,-78.07296036921659,127.2729603692166
19.1,15.0,15.0,,item_15,,19.1,15.0,15.0,-87.6729603692166,117.6729603692166
196.3,144.0,144.0,,item_16,,196.3,144.0,144.0,41.3270396307834,246.67296036921658
46.3,26.5,26.5,,item_17,,46.3,26.5,26.5,-76.1729603692166,129.17296036921658
12.4,6.3,6.3,,item_18,,12.4,6.3,6.3,-96.3729603692166,108.9729603692166
29.8,20.3,20.3,,item_19,,29.8,20.3,20.3,-82.3729603692166,122.9729603692166
11.9,13.1,13.1,,item_20,,11.9,13.1,13.1,-89.5729603692166,115.77296036921659
0.3,0.2,0.2,,item_21,,0.3,0.2,0.2,-102.4729603692166,102.8729603692166
48.8,85.7,85.7,,item_22,,48.8,85.7,85.7,-16.972960369216594,188.3729603692166
98.2,40.5,40.5,,item_23,,98.2,40.5,40.5,-62.1729603692166,143.17296036921658
314.4,358.6,358.6,,item_24,,314.4,358.6,358.6,255.92703963078344,461.2729603692166
8.4,2.0,2.0,,item_25,,8.4,2.0,2.0,-100.6729603692166,104.6729603692166
292.6,433.9,433.9,,item_26,,292.6,433.9,433.9,331.2270396307834,536.5729603692166
1.2,0.1,0.1,,item_27,,1.2,0.1,0.1,-102.5729603692166,102.77296036921659
0.6,0.1,0.1,,item_28,,0.6,0.1,0.1,-102.5729603692166,102.77296036921659
20.6,20.9,20.9,,item_29,,20.6,20.9,20.9,-81.7729603692166,123.57296036921659
267.2,256.1,256.1,,item_30,,267.2,256.1,256.1,153.42703963078344,358.7729603692166
20.1,26.5,26.5,,item_31,,20.1,26.5,26.5,-76.1729603692166,129.17296036921658
303.0,368.2,368.2,,item_32,,303.0,368.2,368.2,265.5270396307834,470.87296036921657
112.2,61.5,61.5,,item_33,,112.2,61.5,61.5,-41.1729603692166,164.17296036921658
3.9,1.4,1.4,,item_34,,3.9,1.4,1.4,-101.27296036921659,104.0729603692166
1.0,0.2,0.2,,item_35,,1.0,0.2,0.2,-102.4729603692166,102.8729603692166
92.3,130.4,130.4,,item_36,,92.3,130.4,130.4,27.72703963078341,233.07296036921662
9.1,47.2,47.2,,item_37,,9.1,47.2,47.2,-55.472960369216594,149.8729603692166
11.1,6.5,6.5,,item_38,,11.1,6.5,6.5,-96.1729603692166,109.1729603692166
14.7,18.6,18.6,,item_39,,14.7,18.6,18.6,-84.07296036921659,121.2729603692166
17.6,16.4,16.4,,item_40,,17.6,16.4,16.4,-86.2729603692166,119.07296036921659
11.9,0.7,0.7,,item_41,,11.9,0.7,0.7,-101.9729603692166,103.3729603692166
12.9,21.5,21.5,,item_42,,12.9,21.5,21.5,-81.1729603692166,124.1729603692166
41.2,56.7,56.7,,item_43,,41.2,56.7,56.7,-45.972960369216594,159.3729603692166
1.0,0.6,0.6,,item_44,,1.0,0.6,0.6,-102.0729603692166,103.27296036921659
6.1,0.1,0.1,,item_45,,6.1,0.1,0.1,-102.5729603692166,102.77296036921659
353.7,390.6,390.6,,item_46,,353.7,390.6,390.6,287.92703963078344,493.2729603692166
5.0,4.1,4.1,,item_47,,5.0,4.1,4.1,-98.5729603692166,106.77296036921659
247.0,266.7,266.7,,item_48,,247.0,266.7,266.7,164.0270396307834,369.37296036921657
20.0,18.1,18.1,,item_49,,20.0,18.1,18.1,-84.57296036921659,120.7729603692166
68.9,65.2,65.2,,item_50,,68.9,65.2,65.2,-37.472960369216594,167.8729603692166
3.5,1.3,1.3,,item_51,,3.5,1.3,1.3,-101.3729603692166,103.9729603692166
182.3,157.6,157.6,,item_52,,182.3,157.6,157.6,54.9270396307834,260.2729603692166
120.2,38.6,38.6,,item_53,,120.2,38.6,38.6,-64.07296036921659,141.2729603692166
65.8,128.3,128.3,,item_54,,65.8,128.3,128.3,25.627039630783415,230.9729603692166
8.6,17.3,17.3,,item_55,,8.6,17.3,17.3,-85.3729603692166,119.9729603692166
19.0,4.5,4.5,,item_56,,19.0,4.5,4.5,-98.1729603692166,107.1729603692166
13.3,10.7,10.7,,item_57,,13.3,10.7,10.7,-91.9729603692166,113.3729603692166
29.1,6.3,6.3,,item_58,,29.1,6.3,6.3,-96.3729603692166,108.9729603692166
6.1,11.6,11.6,,item_59,,6.1,11.6,11.6,-91.0729603692166,114.27296036921659
109.5,189.8,189.8,,item_60,,109.5,189.8,189.8,87.12703963078341,292.4729603692166
12.5,11.3,11.3,,item_61,,12.5,11.3,11.3,-91.3729603692166,113.9729603692166
0.1,0.0,0.0,,item_62,,0.1,0.0,0.0,-102.6729603692166,102.6729603692166
0.4,0.6,0.6,,item_63,,0.4,0.6,0.6,-102.0729603692166,103.27296036921659
0.0,0.0,0.0,,item_64,,0.0,0.0,0.0,-102.6729603692166,102.6729603692166
0.3,0.0,0.0,,item_65,,0.3,0.0,0.0,-102.6729603692166,102.6729603692166
37.7,36.5,36.5,,item_66,,37.7,36.5,36.5,-66.1729603692166,139.17296036921658
20.1,14.0,14.0,,item_67,,20.1,14.0,14.0,-88.6729603692166,116.6729603692166
30.6,19.7,19.7,,item_68,,30.6,19.7,19.7,-82.9729603692166,122.3729603692166
0.1,0.1,0.1,,item_69,,0.1,0.1,0.1,-102.5729603692166,102.77296036921659
0.2,0.0,0.0,,item_70,,0.2,0.0,0.0,-102.6729603692166,102.6729603692166
50.7,45.8,45.8,,item_71,,50.7,45.8,45.8,-56.8729603692166,148.4729603692166
23.7,19.0,19.0,,item_72,,23.7,19.0,19.0,-83.6729603692166,121.6729603692166
27.7,72.3,72.3,,item_73,,27.7,72.3,72.3,-30.3729603692166,174.9729603692166
87.2,76.2,76.2,,item_74,,87.2,76.2,76.2,-26.472960369216594,178.8729603692166
46.3,49.5,49.5,,item_75,,46.3,49.5,49.5,-53.1729603692166,152.17296036921658
1745.8,836.5,836.5,,item_76,,1745.8,836.5,836.5,733.8270396307834,939.1729603692166
7.1,10.0,10.0,,item_77,,7.1,10.0,10.0,-92.6729603692166,112.6729603692166
19.3,4.8,4.8,,item_78,,19.3,4.8,4.8,-97.8729603692166,107.4729603692166
101.3,157.7,157.7,,item_79,,101.3,157.7,157.7,55.02703963078339,260.37296036921657
22.8,11.8,11.8,,item_80,,22.8,11.8,11.8,-90.8729603692166,114.4729603692166
6.2,0.2,0.2,,item_81,,6.2,0.2,0.2,-102.4729603692166,102.8729603692166
1.1,0.2,0.2,,item_82,,1.1,0.2,0.2,-102.4729603692166,102.8729603692166
15.8,9.6,9.6,,item_83,,15.8,9.6,9.6,-93.0729603692166,112.27296036921659
24.8,18.0,18.0,,item_84,,24.8,18.0,18.0,-84.6729603692166,120.6729603692166
5.0,11.8,11.8,,item_85,,5.0,11.8,11.8,-90.8729603692166,114.4729603692166
4.2,4.4,4.4,,item_86,,4.2,4.4,4.4,-98.27296036921659,107.0729603692166
51.5,61.9,61.9,,item_87,,51.5,61.9,61.9,-40.7729603692166,164.5729603692166
81.7,71.3,71.3,,item_88,,81.7,71.3,71.3,-31.3729603692166,173.9729603692166
7.4,29.6,29.6,,item_89,,7.4,29.6,29.6,-73.07296036921659,132.2729603692166
