x,y,value,group,label,facet,source,target,weight,lower,upper
hsa-let-7a-5p,15.171,15.171,TCGA-BRCA,hsa-let-7a-5p,Tumor,hsa-let-7a-5p,15.171,15.171,14.992967637128176,15.349032362871823
hsa-let-7a-5p,15.494,15.494,TCGA-BRCA,hsa-let-7a-5p,Tumor,hsa-let-7a-5p,15.494,15.494,15.315967637128177,15.672032362871823
hsa-let-7a-5p,15.453,15.453,TCGA-BRCA,hsa-let-7a-5p,Tumor,hsa-let-7a-5p,15.453,15.453,15.274967637128176,15.631032362871823
hsa-let-7a-5p,15.592,15.592,TCGA-BRCA,hsa-let-7a-5p,Tumor,hsa-let-7a-5p,15.592,15.592,15.413967637128177,15.770032362871824
hsa-let-7a-5p,15.967,15.967,TCGA-BRCA,hsa-let-7a-5p,Tumor,hsa-let-7a-5p,15.967,15.967,15.788967637128177,16.145032362871824
hsa-let-7a-5p,16.044,16.044,TCGA-BRCA,hsa-let-7a-5p,Tumor,hsa-let-7a-5p,16.044,16.044,15.865967637128177,16.222032362871825
hsa-let-7a-5p,16.06,16.06,TCGA-BRCA,hsa-let-7a-5p,Tumor,hsa-let-7a-5p,16.06,16.06,15.881967637128175,16.238032362871824
hsa-let-7a-5p,15.745,15.745,TCGA-BRCA,hsa-let-7a-5p,Tumor,hsa-let-7a-5p,15.745,15.745,15.566967637128176,15.923032362871822
hsa-let-7a-5p,14.881,14.881,TCGA-BRCA,hsa-let-7a-5p,Tumor,hsa-let-7a-5p,14.881,14.881,14.702967637128177,15.059032362871823
hsa-let-7a-5p,15.742,15.742,TCGA-BRCA,hsa-let-7a-5p,Tumor,hsa-let-7a-5p,15.742,15.742,15.563967637128178,15.920032362871824
hsa-let-7a-5p,14.896,14.896,TCGA-BRCA,hsa-let-7a-5p,Tumor,hsa-let-7a-5p,14.896,14.896,14.717967637128178,15.074032362871824
hsa-let-7a-5p,14.917,14.917,TCGA-BRCA,hsa-let-7a-5p,Tumor,hsa-let-7a-5p,14.917,14.917,14.738967637128177,15.095032362871823
hsa-let-7a-5p,14.497,14.497,TCGA-BRCA,hsa-let-7a-5p,Tumor,hsa-let-7a-5p,14.497,14.497,14.318967637128177,14.675032362871823
