x,y,value,group,label,facet,source,target,weight,lower,upper
source_1,target_1,1.0,,item_1,,source_1,target_1,1.0,-19.46607224150131,21.46607224150131
source_2,target_2,1.0,,item_2,,source_2,target_2,1.0,-19.46607224150131,21.46607224150131
source_3,target_3,2.0,,item_3,,source_3,target_3,2.0,-18.46607224150131,22.46607224150131
source_4,target_4,3.0,,item_4,,source_4,target_4,3.0,-17.46607224150131,23.46607224150131
source_5,target_5,4.0,,item_5,,source_5,target_5,4.0,-16.46607224150131,24.46607224150131
source_6,target_6,5.0,,item_6,,source_6,target_6,5.0,-15.466072241501308,25.46607224150131
source_7,target_7,6.0,,item_7,,source_7,target_7,6.0,-14.466072241501308,26.46607224150131
source_8,target_8,7.0,,item_8,,source_8,target_8,7.0,-13.466072241501308,27.46607224150131
source_9,target_9,8.0,,item_9,,source_9,target_9,8.0,-12.466072241501308,28.46607224150131
source_10,target_10,9.0,,item_10,,source_10,target_10,9.0,-11.466072241501308,29.46607224150131
source_11,target_11,10.0,,item_11,,source_11,target_11,10.0,-10.466072241501308,30.46607224150131
source_12,target_12,11.0,,item_12,,source_12,target_12,11.0,-9.466072241501308,31.46607224150131
source_13,target_1,12.0,,item_13,,source_13,target_1,12.0,-8.466072241501308,32.46607224150131
source_14,target_2,13.0,,item_14,,source_14,target_2,13.0,-7.466072241501308,33.46607224150131
source_15,target_3,14.0,,item_15,,source_15,target_3,14.0,-6.466072241501308,34.46607224150131
source_16,target_4,15.0,,item_16,,source_16,target_4,15.0,-5.466072241501308,35.46607224150131
source_17,target_5,16.0,,item_17,,source_17,target_5,16.0,-4.466072241501308,36.46607224150131
source_18,target_6,17.0,,item_18,,source_18,target_6,17.0,-3.4660722415013083,37.46607224150131
source_19,target_7,18.0,,item_19,,source_19,target_7,18.0,-2.4660722415013083,38.46607224150131
source_20,target_8,19.0,,item_20,,source_20,target_8,19.0,-1.4660722415013083,39.46607224150131
source_21,target_9,20.0,,item_21,,source_21,target_9,20.0,-0.4660722415013083,40.46607224150131
source_22,target_10,21.0,,item_22,,source_22,target_10,21.0,0.5339277584986917,41.46607224150131
source_23,target_11,22.0,,item_23,,source_23,target_11,22.0,1.5339277584986917,42.46607224150131
source_24,target_12,23.0,,item_24,,source_24,target_12,23.0,2.5339277584986917,43.46607224150131
source_25,target_1,24.0,,item_25,,source_25,target_1,24.0,3.5339277584986917,44.46607224150131
source_26,target_2,25.0,,item_26,,source_26,target_2,25.0,4.533927758498692,45.46607224150131
source_27,target_3,26.0,,item_27,,source_27,target_3,26.0,5.533927758498692,46.46607224150131
source_28,target_4,27.0,,item_28,,source_28,target_4,27.0,6.533927758498692,47.46607224150131
source_29,target_5,28.0,,item_29,,source_29,target_5,28.0,7.533927758498692,48.46607224150131
source_30,target_6,29.0,,item_30,,source_30,target_6,29.0,8.533927758498692,49.46607224150131
source_31,target_7,30.0,,item_31,,source_31,target_7,30.0,9.533927758498692,50.46607224150131
source_32,target_8,31.0,,item_32,,source_32,target_8,31.0,10.533927758498692,51.46607224150131
source_33,target_9,32.0,,item_33,,source_33,target_9,32.0,11.533927758498692,52.46607224150131
source_34,target_10,33.0,,item_34,,source_34,target_10,33.0,12.533927758498692,53.46607224150131
source_35,target_11,34.0,,item_35,,source_35,target_11,34.0,13.533927758498692,54.46607224150131
source_36,target_12,35.0,,item_36,,source_36,target_12,35.0,14.533927758498692,55.46607224150131
source_37,target_1,36.0,,item_37,,source_37,target_1,36.0,15.533927758498692,56.46607224150131
source_38,target_2,37.0,,item_38,,source_38,target_2,37.0,16.53392775849869,57.46607224150131
source_39,target_3,38.0,,item_39,,source_39,target_3,38.0,17.53392775849869,58.46607224150131
