x,y,value,group,label,facet,source,target,weight,lower,upper
0,0,50,,item_1,,0,0,50,11.056702431202424,88.94329756879758
0,1,49,,item_2,,0,1,49,10.056702431202424,87.94329756879758
0,2,48,,item_3,,0,2,48,9.056702431202424,86.94329756879758
0,3,47,,item_4,,0,3,47,8.056702431202424,85.94329756879758
0,4,46,,item_5,,0,4,46,7.0567024312024245,84.94329756879758
0,5,45,,item_6,,0,5,45,6.0567024312024245,83.94329756879758
0,6,44,,item_7,,0,6,44,5.0567024312024245,82.94329756879758
0,7,43,,item_8,,0,7,43,4.0567024312024245,81.94329756879758
0,8,42,,item_9,,0,8,42,3.0567024312024245,80.94329756879758
0,9,41,,item_10,,0,9,41,2.0567024312024245,79.94329756879758
0,10,40,,item_11,,0,10,40,1.0567024312024245,78.94329756879758
0,11,39,,item_12,,0,11,39,0.056702431202424464,77.94329756879758
0,12,38,,item_13,,0,12,38,-0.9432975687975755,76.94329756879758
0,13,37,,item_14,,0,13,37,-1.9432975687975755,75.94329756879758
0,14,36,,item_15,,0,14,36,-2.9432975687975755,74.94329756879758
0,15,35,,item_16,,0,15,35,-3.9432975687975755,73.94329756879758
0,16,34,,item_17,,0,16,34,-4.9432975687975755,72.94329756879758
0,17,33,,item_18,,0,17,33,-5.9432975687975755,71.94329756879758
0,18,32,,item_19,,0,18,32,-6.9432975687975755,70.94329756879758
0,19,31,,item_20,,0,19,31,-7.9432975687975755,69.94329756879758
0,20,30,,item_21,,0,20,30,-8.943297568797576,68.94329756879758
0,21,29,,item_22,,0,21,29,-9.943297568797576,67.94329756879758
0,22,28,,item_23,,0,22,28,-10.943297568797576,66.94329756879758
0,23,27,,item_24,,0,23,27,-11.943297568797576,65.94329756879758
0,24,26,,item_25,,0,24,26,-12.943297568797576,64.94329756879758
0,25,25,,item_26,,0,25,25,-13.943297568797576,63.943297568797576
0,26,24,,item_27,,0,26,24,-14.943297568797576,62.943297568797576
0,27,23,,item_28,,0,27,23,-15.943297568797576,61.943297568797576
0,28,22,,item_29,,0,28,22,-16.943297568797576,60.943297568797576
0,29,21,,item_30,,0,29,21,-17.943297568797576,59.943297568797576
0,30,20,,item_31,,0,30,20,-18.943297568797576,58.943297568797576
0,31,19,,item_32,,0,31,19,-19.943297568797576,57.943297568797576
0,32,18,,item_33,,0,32,18,-20.943297568797576,56.943297568797576
0,33,17,,item_34,,0,33,17,-21.943297568797576,55.943297568797576
0,34,16,,item_35,,0,34,16,-22.943297568797576,54.943297568797576
0,35,15,,item_36,,0,35,15,-23.943297568797576,53.943297568797576
0,36,14,,item_37,,0,36,14,-24.943297568797576,52.943297568797576
0,37,13,,item_38,,0,37,13,-25.943297568797576,51.943297568797576
0,38,12,,item_39,,0,38,12,-26.943297568797576,50.943297568797576
0,39,11,,item_40,,0,39,11,-27.943297568797576,49.943297568797576
0,40,10,,item_41,,0,40,10,-28.943297568797576,48.943297568797576
0,41,9,,item_42,,0,41,9,-29.943297568797576,47.943297568797576
0,42,8,,item_43,,0,42,8,-30.943297568797576,46.943297568797576
0,43,7,,item_44,,0,43,7,-31.943297568797576,45.943297568797576
0,44,6,,item_45,,0,44,6,-32.943297568797576,44.943297568797576
0,45,5,,item_46,,0,45,5,-33.943297568797576,43.943297568797576
0,46,4,,item_47,,0,46,4,-34.943297568797576,42.943297568797576
0,47,3,,item_48,,0,47,3,-35.943297568797576,41.943297568797576
0,48,2,,item_49,,0,48,2,-36.943297568797576,40.943297568797576
0,49,1,,item_50,,0,49,1,-37.943297568797576,39.943297568797576
0,50,0,,item_51,,0,50,0,-38.943297568797576,38.943297568797576
1,0,49,,item_52,,1,0,49,10.056702431202424,87.94329756879758
1,1,100,,item_53,,1,1,100,61.056702431202424,138.94329756879756
1,2,99,,item_54,,1,2,99,60.056702431202424,137.94329756879756
1,3,98,,item_55,,1,3,98,59.056702431202424,136.94329756879756
1,4,97,,item_56,,1,4,97,58.056702431202424,135.94329756879756
1,5,96,,item_57,,1,5,96,57.056702431202424,134.94329756879756
1,6,95,,item_58,,1,6,95,56.056702431202424,133.94329756879756
1,7,94,,item_59,,1,7,94,55.056702431202424,132.94329756879756
1,8,93,,item_60,,1,8,93,54.056702431202424,131.94329756879756
1,9,92,,item_61,,1,9,92,53.056702431202424,130.94329756879756
