x,y,value,group,label,facet,source,target,weight,lower,upper
x_1,row_1,0.0,,item_1,,x_1,row_1,0.0,-3.0886890422961004,3.0886890422961004
x_2,row_2,1.0,,item_2,,x_2,row_2,1.0,-2.0886890422961004,4.0886890422961
x_3,row_3,2.0,,item_3,,x_3,row_3,2.0,-1.0886890422961004,5.0886890422961
x_4,row_4,3.0,,item_4,,x_4,row_4,3.0,-0.08868904229610042,6.0886890422961
x_5,row_5,4.0,,item_5,,x_5,row_5,4.0,0.9113109577038996,7.0886890422961
x_6,row_6,5.0,,item_6,,x_6,row_6,5.0,1.9113109577038996,8.0886890422961
x_7,row_7,6.0,,item_7,,x_7,row_7,6.0,2.9113109577038996,9.0886890422961
x_8,row_8,7.0,,item_8,,x_8,row_8,7.0,3.9113109577038996,10.0886890422961
x_9,row_9,8.0,,item_9,,x_9,row_9,8.0,4.9113109577039,11.0886890422961
x_10,row_10,9.0,,item_10,,x_10,row_10,9.0,5.9113109577039,12.0886890422961
x_11,row_11,10.0,,item_11,,x_11,row_11,10.0,6.9113109577039,13.0886890422961
x_12,row_12,11.0,,item_12,,x_12,row_12,11.0,7.9113109577039,14.0886890422961
x_13,row_1,12.0,,item_13,,x_13,row_1,12.0,8.9113109577039,15.0886890422961
x_14,row_2,13.0,,item_14,,x_14,row_2,13.0,9.9113109577039,16.0886890422961
x_15,row_3,14.0,,item_15,,x_15,row_3,14.0,10.9113109577039,17.0886890422961
x_16,row_4,15.0,,item_16,,x_16,row_4,15.0,11.9113109577039,18.0886890422961
x_17,row_5,16.0,,item_17,,x_17,row_5,16.0,12.9113109577039,19.0886890422961
x_18,row_6,17.0,,item_18,,x_18,row_6,17.0,13.9113109577039,20.0886890422961
x_19,row_7,18.0,,item_19,,x_19,row_7,18.0,14.9113109577039,21.0886890422961
x_20,row_8,19.0,,item_20,,x_20,row_8,19.0,15.9113109577039,22.0886890422961
x_21,row_9,20.0,,item_21,,x_21,row_9,20.0,16.9113109577039,23.0886890422961
x_22,row_10,21.0,,item_22,,x_22,row_10,21.0,17.9113109577039,24.0886890422961
x_23,row_11,22.0,,item_23,,x_23,row_11,22.0,18.9113109577039,25.0886890422961
x_24,row_12,23.0,,item_24,,x_24,row_12,23.0,19.9113109577039,26.0886890422961
x_25,row_1,24.0,,item_25,,x_25,row_1,24.0,20.9113109577039,27.0886890422961
x_26,row_2,25.0,,item_26,,x_26,row_2,25.0,21.9113109577039,28.0886890422961
x_27,row_3,26.0,,item_27,,x_27,row_3,26.0,22.9113109577039,29.0886890422961
x_28,row_4,27.0,,item_28,,x_28,row_4,27.0,23.9113109577039,30.0886890422961
x_29,row_5,28.0,,item_29,,x_29,row_5,28.0,24.9113109577039,31.0886890422961
x_30,row_6,29.0,,item_30,,x_30,row_6,29.0,25.9113109577039,32.0886890422961
x_31,row_7,30.0,,item_31,,x_31,row_7,30.0,26.9113109577039,33.0886890422961
x_32,row_8,31.0,,item_32,,x_32,row_8,31.0,27.9113109577039,34.0886890422961
x_33,row_9,32.0,,item_33,,x_33,row_9,32.0,28.9113109577039,35.0886890422961
x_34,row_10,33.0,,item_34,,x_34,row_10,33.0,29.9113109577039,36.0886890422961
x_35,row_11,34.0,,item_35,,x_35,row_11,34.0,30.9113109577039,37.0886890422961
x_36,row_12,35.0,,item_36,,x_36,row_12,35.0,31.9113109577039,38.0886890422961
x_37,row_1,36.0,,item_37,,x_37,row_1,36.0,32.9113109577039,39.0886890422961
x_38,row_2,37.0,,item_38,,x_38,row_2,37.0,33.9113109577039,40.0886890422961
x_39,row_3,38.0,,item_39,,x_39,row_3,38.0,34.9113109577039,41.0886890422961
x_40,row_4,39.0,,item_40,,x_40,row_4,39.0,35.9113109577039,42.0886890422961
x_41,row_5,40.0,,item_41,,x_41,row_5,40.0,36.9113109577039,43.0886890422961
x_42,row_6,41.0,,item_42,,x_42,row_6,41.0,37.9113109577039,44.0886890422961
x_43,row_7,42.0,,item_43,,x_43,row_7,42.0,38.9113109577039,45.0886890422961
x_44,row_8,43.0,,item_44,,x_44,row_8,43.0,39.9113109577039,46.0886890422961
x_45,row_9,44.0,,item_45,,x_45,row_9,44.0,40.9113109577039,47.0886890422961
x_46,row_10,45.0,,item_46,,x_46,row_10,45.0,41.9113109577039,48.0886890422961
x_47,row_11,46.0,,item_47,,x_47,row_11,46.0,42.9113109577039,49.0886890422961
x_48,row_12,47.0,,item_48,,x_48,row_12,47.0,43.9113109577039,50.0886890422961
x_49,row_1,48.0,,item_49,,x_49,row_1,48.0,44.9113109577039,51.0886890422961
x_50,row_2,49.0,,item_50,,x_50,row_2,49.0,45.9113109577039,52.0886890422961
x_51,row_3,50.0,,item_51,,x_51,row_3,50.0,46.9113109577039,53.0886890422961
x_52,row_4,51.0,,item_52,,x_52,row_4,51.0,47.9113109577039,54.0886890422961
x_53,row_5,52.0,,item_53,,x_53,row_5,52.0,48.9113109577039,55.0886890422961
