x,y,value,group,label,facet,source,target,weight,lower,upper
group_0M,-13.3625431596301,-13.3625431596301,sample1,group_0M,,group_0M,-13.3625431596301,-13.3625431596301,-13.733401013328976,-12.991685305931224
group_0M,-16.4932692719158,-16.4932692719158,sample2,group_0M,,group_0M,-16.4932692719158,-16.4932692719158,-16.864127125614676,-16.122411418216924
group_0M,-15.8577311614063,-15.8577311614063,sample3,group_0M,,group_0M,-15.8577311614063,-15.8577311614063,-16.228589015105175,-15.486873307707423
group_0M,-16.8667805211153,-16.8667805211153,sample4,group_0M,,group_0M,-16.8667805211153,-16.8667805211153,-17.237638374814175,-16.495922667416423
group_0M,-15.5750633035786,-15.5750633035786,sample5,group_0M,,group_0M,-15.5750633035786,-15.5750633035786,-15.945921157277477,-15.204205449879725
group_0M,-12.0206216808874,-12.0206216808874,sample6,group_0M,,group_0M,-12.0206216808874,-12.0206216808874,-12.391479534586276,-11.649763827188524
group_0M,-16.7517654334661,-16.7517654334661,sample7,group_0M,,group_0M,-16.7517654334661,-16.7517654334661,-17.122623287164977,-16.380907579767225
group_0M,-15.6260299722198,-15.6260299722198,sample8,group_0M,,group_0M,-15.6260299722198,-15.6260299722198,-15.996887825918677,-15.255172118520925
group_0M,-13.005990965059,-13.005990965059,sample9,group_0M,,group_0M,-13.005990965059,-13.005990965059,-13.376848818757876,-12.635133111360124
group_0M,-15.3702627616003,-15.3702627616003,sample10,group_0M,,group_0M,-15.3702627616003,-15.3702627616003,-15.741120615299176,-14.999404907901424
group_0M,-14.6864773186389,-14.6864773186389,sample11,group_0M,,group_0M,-14.6864773186389,-14.6864773186389,-15.057335172337776,-14.315619464940024
group_0M,-13.8966794246808,-13.8966794246808,sample12,group_0M,,group_0M,-13.8966794246808,-13.8966794246808,-14.267537278379676,-13.525821570981924
group_0M,-16.9404138315003,-16.9404138315003,sample13,group_0M,,group_0M,-16.9404138315003,-16.9404138315003,-17.311271685199177,-16.569555977801425
group_0M,-15.6860406014603,-15.6860406014603,sample14,group_0M,,group_0M,-15.6860406014603,-15.6860406014603,-16.05689845515918,-15.315182747761424
group_0M,-13.4071960712317,-13.4071960712317,sample15,group_0M,,group_0M,-13.4071960712317,-13.4071960712317,-13.778053924930576,-13.036338217532824
group_0M,-15.9008958055638,-15.9008958055638,sample16,group_0M,,group_0M,-15.9008958055638,-15.9008958055638,-16.27175365926268,-15.530037951864925
group_0M,-14.3692564794328,-14.3692564794328,sample17,group_0M,,group_0M,-14.3692564794328,-14.3692564794328,-14.740114333131675,-13.998398625733923
group_0M,-16.9019991641399,-16.9019991641399,sample18,group_0M,,group_0M,-16.9019991641399,-16.9019991641399,-17.272857017838778,-16.531141310441026
group_0M,-16.9998170731124,-16.9998170731124,sample19,group_0M,,group_0M,-16.9998170731124,-16.9998170731124,-17.370674926811276,-16.628959219413524
group_0M,-15.1763644516468,-15.1763644516468,sample20,group_0M,,group_0M,-15.1763644516468,-15.1763644516468,-15.547222305345676,-14.805506597947923
group_0M,-14.5406810746063,-14.5406810746063,sample21,group_0M,,group_0M,-14.5406810746063,-14.5406810746063,-14.911538928305177,-14.169823220907425
group_0M,-12.255715661915,-12.255715661915,sample22,group_0M,,group_0M,-12.255715661915,-12.255715661915,-12.626573515613876,-11.884857808216124
group_0M,-13.4106465713121,-13.4106465713121,sample23,group_0M,,group_0M,-13.4106465713121,-13.4106465713121,-13.781504425010976,-13.039788717613224
group_3M,-12.1963864860591,-12.1963864860591,sample1,group_3M,,group_3M,-12.1963864860591,-12.1963864860591,-12.567244339757975,-11.825528632360223
group_3M,-13.8481410124805,-13.8481410124805,sample2,group_3M,,group_3M,-13.8481410124805,-13.8481410124805,-14.218998866179376,-13.477283158781624
