chromosome,position,score,feature_id,trait,threshold,highlight,label,ring
chr2,100000,3.278,var1,trait_a,3.0,False,,
chr3,200000,3.473,var2,trait_a,3.0,False,,
chr4,300000,2.498,var3,trait_a,3.0,False,,
chr1,400000,1.34,var4,trait_a,3.0,False,,
chr2,500000,1.158,var5,trait_a,3.0,True,,
chr3,600000,2.209,var6,trait_a,3.0,False,,
chr4,700000,3.62,var7,trait_a,3.0,False,,
chr1,800000,4.185,var8,trait_a,3.0,False,,
chr2,900000,3.477,var9,trait_a,3.0,True,,
chr3,1000000,2.238,var10,trait_a,3.0,False,,
chr4,1100000,1.7,var11,trait_a,3.0,False,,
chr1,1200000,2.449,var12,trait_a,3.0,False,,
chr2,1300000,3.888,var13,trait_a,3.0,False,,
chr3,1400000,4.787,var14,trait_a,3.0,False,,
chr4,1500000,4.41,var15,trait_a,3.0,False,,
chr1,1600000,3.197,var16,trait_a,3.0,False,,
